prec_id,Anne Fischer,Warren Daniel,election
burke_21,284,613,nc_state_senate_district_46
burke_0047-B,329,523,nc_state_senate_district_46
burke_66,404,809,nc_state_senate_district_46
burke_62,166,395,nc_state_senate_district_46
burke_11,301,1455,nc_state_senate_district_46
burke_14,207,1049,nc_state_senate_district_46
burke_39,512,553,nc_state_senate_district_46
burke_51,732,1453,nc_state_senate_district_46
burke_12,163,1109,nc_state_senate_district_46
burke_36,391,887,nc_state_senate_district_46
burke_65,156,546,nc_state_senate_district_46
burke_19,146,267,nc_state_senate_district_46
burke_0029-A,123,622,nc_state_senate_district_46
burke_31,757,516,nc_state_senate_district_46
burke_34,648,691,nc_state_senate_district_46
burke_53,314,1030,nc_state_senate_district_46
burke_38,517,872,nc_state_senate_district_46
burke_18,115,219,nc_state_senate_district_46
burke_13,333,1499,nc_state_senate_district_46
burke_40,374,754,nc_state_senate_district_46
burke_1,635,1416,nc_state_senate_district_46
burke_24,488,1197,nc_state_senate_district_46
burke_0047-A,652,733,nc_state_senate_district_46
burke_35,488,477,nc_state_senate_district_46
burke_52,295,530,nc_state_senate_district_46
burke_3,159,627,nc_state_senate_district_46
burke_48,551,889,nc_state_senate_district_46
burke_ABSENTEE,0,0,nc_state_senate_district_46
burke_22,324,920,nc_state_senate_district_46
burke_20,259,399,nc_state_senate_district_46
burke_15,198,719,nc_state_senate_district_46
burke_64,147,378,nc_state_senate_district_46
burke_0029-B,180,505,nc_state_senate_district_46
burke_70,429,1161,nc_state_senate_district_46
cleveland_KM N,1153,1887,nc_state_senate_district_46
cleveland_KM S,1032,1707,nc_state_senate_district_46
cleveland_RIPPY,783,1555,nc_state_senate_district_46
cleveland_POLKVL,311,1153,nc_state_senate_district_46
cleveland_SHANGI,541,1229,nc_state_senate_district_46
cleveland_OAKGRV,462,1708,nc_state_senate_district_46
cleveland_LATT,374,1384,nc_state_senate_district_46
cleveland_S 5,805,878,nc_state_senate_district_46
cleveland_MULLS,267,1014,nc_state_senate_district_46
cleveland_BETHWR,274,926,nc_state_senate_district_46
cleveland_WACO,727,1343,nc_state_senate_district_46
cleveland_BR,865,2217,nc_state_senate_district_46
cleveland_LAWNDL,569,591,nc_state_senate_district_46
cleveland_KINGST,423,212,nc_state_senate_district_46
cleveland_GROVER,524,1485,nc_state_senate_district_46
cleveland_S C,2313,2035,nc_state_senate_district_46
cleveland_FALSTN,183,850,nc_state_senate_district_46
cleveland_CASAR,98,799,nc_state_senate_district_46
cleveland_MRB-YO,199,775,nc_state_senate_district_46
cleveland_S 4A,1613,1518,nc_state_senate_district_46
cleveland_S S,1813,1918,nc_state_senate_district_46
