prec_id,Ralph Hise,election
madison_BEECH,716,nc_state_senate_district_47
madison_LAUREL,212,nc_state_senate_district_47
madison_MARS H,960,nc_state_senate_district_47
madison_SPRING,184,nc_state_senate_district_47
madison_WALNUT,333,nc_state_senate_district_47
madison_SOUTH,254,nc_state_senate_district_47
madison_REVERE,55,nc_state_senate_district_47
madison_NORTH,609,nc_state_senate_district_47
madison_SANDY,140,nc_state_senate_district_47
madison_HOT SP,213,nc_state_senate_district_47
madison_EBBS C,321,nc_state_senate_district_47
madison_GRAPEV,300,nc_state_senate_district_47
mcdowell_GLENWD,489,nc_state_senate_district_47
mcdowell_WEST M,880,nc_state_senate_district_47
mcdowell_43891,776,nc_state_senate_district_47
mcdowell_PLEASA,696,nc_state_senate_district_47
mcdowell_43894,190,nc_state_senate_district_47
mcdowell_NEBO,809,nc_state_senate_district_47
mcdowell_FORT 2,276,nc_state_senate_district_47
mcdowell_T.COVE,269,nc_state_senate_district_47
mcdowell_M.COVE,507,nc_state_senate_district_47
mcdowell_FORT 1,383,nc_state_senate_district_47
mcdowell_HIGGIN,362,nc_state_senate_district_47
mcdowell_N.COVE,249,nc_state_senate_district_47
mcdowell_CCREEK,697,nc_state_senate_district_47
mcdowell_43892,280,nc_state_senate_district_47
mcdowell_43893,232,nc_state_senate_district_47
mcdowell_43895,212,nc_state_senate_district_47
mcdowell_DYSART,578,nc_state_senate_district_47
mitchell_2,116,nc_state_senate_district_47
mitchell_5,200,nc_state_senate_district_47
mitchell_8,120,nc_state_senate_district_47
mitchell_1,390,nc_state_senate_district_47
mitchell_4,1765,nc_state_senate_district_47
mitchell_7,64,nc_state_senate_district_47
mitchell_3,196,nc_state_senate_district_47
mitchell_6,219,nc_state_senate_district_47
mitchell_9,358,nc_state_senate_district_47
polk_WO06,556,nc_state_senate_district_47
polk_TR123,822,nc_state_senate_district_47
polk_CL07,733,nc_state_senate_district_47
polk_GC09,845,nc_state_senate_district_47
polk_CG05,460,nc_state_senate_district_47
polk_CL08,916,nc_state_senate_district_47
polk_SA04,460,nc_state_senate_district_47
rutherford_CURBSIDE,140,nc_state_senate_district_47
rutherford_27,1251,nc_state_senate_district_47
rutherford_28,506,nc_state_senate_district_47
rutherford_06A,749,nc_state_senate_district_47
rutherford_19,517,nc_state_senate_district_47
rutherford_04A,730,nc_state_senate_district_47
rutherford_14,637,nc_state_senate_district_47
rutherford_34,518,nc_state_senate_district_47
rutherford_10A,435,nc_state_senate_district_47
rutherford_16A,842,nc_state_senate_district_47
rutherford_09A,1094,nc_state_senate_district_47
rutherford_29,569,nc_state_senate_district_47
rutherford_11,1681,nc_state_senate_district_47
rutherford_03A,804,nc_state_senate_district_47
rutherford_05A,709,nc_state_senate_district_47
rutherford_13,999,nc_state_senate_district_47
rutherford_18,690,nc_state_senate_district_47
rutherford_30,832,nc_state_senate_district_47
yancey_06 JAC,441,nc_state_senate_district_47
yancey_05 GRE,148,nc_state_senate_district_47
yancey_11 PRI,470,nc_state_senate_district_47
yancey_03 EGY,152,nc_state_senate_district_47
yancey_01 BUR,1162,nc_state_senate_district_47
yancey_04 RAM,111,nc_state_senate_district_47
yancey_10 PEN,201,nc_state_senate_district_47
yancey_07 BRU,112,nc_state_senate_district_47
yancey_02 CAN,488,nc_state_senate_district_47
yancey_08 CRA,934,nc_state_senate_district_47
yancey_09 SOU,629,nc_state_senate_district_47
