prec_id,Rick Wood,Tom Apodaca,election
buncombe_19.1,187,125,nc_state_senate_district_48
buncombe_29.2,570,454,nc_state_senate_district_48
buncombe_60.4,2,0,nc_state_senate_district_48
buncombe_57.1,473,673,nc_state_senate_district_48
buncombe_ONESTOP,2525,2095,nc_state_senate_district_48
buncombe_38.3,527,993,nc_state_senate_district_48
buncombe_38.2,304,586,nc_state_senate_district_48
buncombe_54.2,438,475,nc_state_senate_district_48
buncombe_56.2,452,441,nc_state_senate_district_48
buncombe_47.1,413,781,nc_state_senate_district_48
buncombe_30.2,218,328,nc_state_senate_district_48
buncombe_30.3,333,521,nc_state_senate_district_48
buncombe_55.1,501,642,nc_state_senate_district_48
buncombe_46.1,199,198,nc_state_senate_district_48
buncombe_18.2,428,589,nc_state_senate_district_48
henderson_AR,248,370,nc_state_senate_district_48
henderson_GR,324,767,nc_state_senate_district_48
henderson_EF,304,528,nc_state_senate_district_48
henderson_AT,545,1007,nc_state_senate_district_48
henderson_HS,495,741,nc_state_senate_district_48
henderson_ES,399,505,nc_state_senate_district_48
henderson_RR,177,256,nc_state_senate_district_48
henderson_CB,175,379,nc_state_senate_district_48
henderson_ONESTOP,191,297,nc_state_senate_district_48
henderson_EV,517,758,nc_state_senate_district_48
henderson_FR,694,1163,nc_state_senate_district_48
henderson_RG,409,649,nc_state_senate_district_48
henderson_CC,490,797,nc_state_senate_district_48
henderson_HV-1,593,533,nc_state_senate_district_48
henderson_HV-2,490,378,nc_state_senate_district_48
henderson_SB,344,762,nc_state_senate_district_48
henderson_NW,356,437,nc_state_senate_district_48
henderson_CV,145,192,nc_state_senate_district_48
henderson_FL,762,897,nc_state_senate_district_48
henderson_BC,162,224,nc_state_senate_district_48
henderson_SM,640,963,nc_state_senate_district_48
henderson_HC,488,816,nc_state_senate_district_48
henderson_NE,309,383,nc_state_senate_district_48
henderson_ED,350,607,nc_state_senate_district_48
henderson_BK,195,197,nc_state_senate_district_48
henderson_GM,189,356,nc_state_senate_district_48
henderson_NM,548,811,nc_state_senate_district_48
henderson_MG,150,234,nc_state_senate_district_48
henderson_PV,476,611,nc_state_senate_district_48
henderson_LJ,515,562,nc_state_senate_district_48
henderson_LP,487,489,nc_state_senate_district_48
henderson_SW,452,661,nc_state_senate_district_48
henderson_HV-3,564,466,nc_state_senate_district_48
henderson_NB,464,909,nc_state_senate_district_48
henderson_SE,156,273,nc_state_senate_district_48
henderson_PR,405,618,nc_state_senate_district_48
transylvania_TC1,102,310,nc_state_senate_district_48
transylvania_DR,649,738,nc_state_senate_district_48
transylvania_RE,274,657,nc_state_senate_district_48
transylvania_B4,451,328,nc_state_senate_district_48
transylvania_CM,189,228,nc_state_senate_district_48
transylvania_WC,439,566,nc_state_senate_district_48
transylvania_B2,448,280,nc_state_senate_district_48
transylvania_B3,492,491,nc_state_senate_district_48
transylvania_PF,251,359,nc_state_senate_district_48
transylvania_B1,529,420,nc_state_senate_district_48
transylvania_TC7,254,582,nc_state_senate_district_48
transylvania_LR,306,554,nc_state_senate_district_48
transylvania_BD,552,730,nc_state_senate_district_48
transylvania_CC,480,740,nc_state_senate_district_48
transylvania_EF,242,296,nc_state_senate_district_48
