prec_id,David Price,Paul Wright,election
alamance_12S,253,95,us_house_of_representatives_district_04
alamance_11,784,532,us_house_of_representatives_district_04
alamance_128,415,188,us_house_of_representatives_district_04
alamance_127,1110,326,us_house_of_representatives_district_04
alamance_ONESTOP,0,0,us_house_of_representatives_district_04
alamance_63,563,350,us_house_of_representatives_district_04
alamance_13,683,504,us_house_of_representatives_district_04
alamance_06N,469,237,us_house_of_representatives_district_04
alamance_12N,1111,152,us_house_of_representatives_district_04
alamance_12E,272,174,us_house_of_representatives_district_04
chatham_MCH110,716,356,us_house_of_representatives_district_04
chatham_73,408,135,us_house_of_representatives_district_04
chatham_ONESTOP,6042,2747,us_house_of_representatives_district_04
chatham_PIT113,804,567,us_house_of_representatives_district_04
chatham_15,342,192,us_house_of_representatives_district_04
chatham_NWM117,489,364,us_house_of_representatives_district_04
chatham_78,558,437,us_house_of_representatives_district_04
chatham_20,268,401,us_house_of_representatives_district_04
cumberland_G2C-2,528,522,us_house_of_representatives_district_04
cumberland_MR02,655,319,us_house_of_representatives_district_04
cumberland_CC03,199,104,us_house_of_representatives_district_04
cumberland_G5C,535,265,us_house_of_representatives_district_04
cumberland_ONESTOP,811,156,us_house_of_representatives_district_04
cumberland_CC33,566,371,us_house_of_representatives_district_04
cumberland_G5A-1,799,281,us_house_of_representatives_district_04
cumberland_G2E-1,619,125,us_house_of_representatives_district_04
cumberland_CC21,871,331,us_house_of_representatives_district_04
cumberland_CC27,713,231,us_house_of_representatives_district_04
cumberland_G2C-1,612,390,us_house_of_representatives_district_04
cumberland_CC04,1,2,us_house_of_representatives_district_04
cumberland_CC25,420,301,us_house_of_representatives_district_04
cumberland_CC26,936,303,us_house_of_representatives_district_04
cumberland_G2B,958,564,us_house_of_representatives_district_04
cumberland_G2D,889,746,us_house_of_representatives_district_04
cumberland_CC32,389,101,us_house_of_representatives_district_04
cumberland_AH49,850,307,us_house_of_representatives_district_04
cumberland_LI65,525,808,us_house_of_representatives_district_04
cumberland_CC29,551,260,us_house_of_representatives_district_04
cumberland_G2A,1257,581,us_house_of_representatives_district_04
cumberland_G2E-2,796,143,us_house_of_representatives_district_04
cumberland_CC08,5,2,us_house_of_representatives_district_04
cumberland_CC01,707,79,us_house_of_representatives_district_04
cumberland_G5A-2,545,375,us_house_of_representatives_district_04
cumberland_CL57-2,842,235,us_house_of_representatives_district_04
cumberland_G5B-2,696,198,us_house_of_representatives_district_04
cumberland_CC05,690,86,us_house_of_representatives_district_04
cumberland_CC16,963,28,us_house_of_representatives_district_04
cumberland_CC13,522,33,us_house_of_representatives_district_04
cumberland_LR63,1082,293,us_house_of_representatives_district_04
cumberland_CC19,299,14,us_house_of_representatives_district_04
cumberland_CC17,874,121,us_house_of_representatives_district_04
cumberland_G5B-1,955,117,us_house_of_representatives_district_04
cumberland_MB62,632,149,us_house_of_representatives_district_04
cumberland_CL57-1,806,282,us_house_of_representatives_district_04
durham_43,1754,657,us_house_of_representatives_district_04
durham_4,644,96,us_house_of_representatives_district_04
durham_36,715,164,us_house_of_representatives_district_04
durham_16,627,208,us_house_of_representatives_district_04
durham_38,1202,422,us_house_of_representatives_district_04
durham_39,1020,587,us_house_of_representatives_district_04
durham_48,566,167,us_house_of_representatives_district_04
durham_ONESTOP,7912,1388,us_house_of_representatives_district_04
durham_50,963,391,us_house_of_representatives_district_04
durham_35.3,1779,659,us_house_of_representatives_district_04
durham_33,1017,362,us_house_of_representatives_district_04
durham_53-1,691,255,us_house_of_representatives_district_04
durham_53-2,999,380,us_house_of_representatives_district_04
durham_51,1325,370,us_house_of_representatives_district_04
durham_27,777,391,us_house_of_representatives_district_04
harnett_PR31,239,188,us_house_of_representatives_district_04
harnett_ONESTOP,1247,771,us_house_of_representatives_district_04
harnett_PR20,509,276,us_house_of_representatives_district_04
harnett_PR23,473,581,us_house_of_representatives_district_04
orange_OW,505,58,us_house_of_representatives_district_04
orange_LC,592,66,us_house_of_representatives_district_04
orange_CB,433,51,us_house_of_representatives_district_04
orange_LI,251,64,us_house_of_representatives_district_04
orange_WD,553,129,us_house_of_representatives_district_04
orange_CA,194,196,us_house_of_representatives_district_04
orange_CF,504,198,us_house_of_representatives_district_04
orange_EA,287,83,us_house_of_representatives_district_04
orange_EH,451,106,us_house_of_representatives_district_04
orange_WC,409,245,us_house_of_representatives_district_04
orange_CH,393,62,us_house_of_representatives_district_04
orange_ES,466,84,us_house_of_representatives_district_04
orange_MF,433,95,us_house_of_representatives_district_04
orange_SJ,647,173,us_house_of_representatives_district_04
orange_ONESTOP,16829,2754,us_house_of_representatives_district_04
orange_CO,557,114,us_house_of_representatives_district_04
orange_CS1,283,167,us_house_of_representatives_district_04
orange_GR,392,89,us_house_of_representatives_district_04
orange_CC,328,111,us_house_of_representatives_district_04
orange_NS,405,72,us_house_of_representatives_district_04
orange_WH,415,145,us_house_of_representatives_district_04
orange_KM,485,149,us_house_of_representatives_district_04
orange_BC,438,100,us_house_of_representatives_district_04
orange_OG,719,456,us_house_of_representatives_district_04
orange_WW,228,63,us_house_of_representatives_district_04
orange_NC,512,112,us_house_of_representatives_district_04
orange_RF,583,146,us_house_of_representatives_district_04
orange_TH,483,35,us_house_of_representatives_district_04
orange_BP,220,62,us_house_of_representatives_district_04
orange_DM,574,127,us_house_of_representatives_district_04
orange_GB,581,316,us_house_of_representatives_district_04
orange_PA,676,337,us_house_of_representatives_district_04
orange_GL,538,236,us_house_of_representatives_district_04
orange_CX,646,587,us_house_of_representatives_district_04
orange_DA,784,197,us_house_of_representatives_district_04
orange_WDS,313,28,us_house_of_representatives_district_04
orange_H,229,49,us_house_of_representatives_district_04
orange_HF,801,234,us_house_of_representatives_district_04
wake_43853,856,401,us_house_of_representatives_district_04
wake_43855,68,3,us_house_of_representatives_district_04
wake_43856,527,28,us_house_of_representatives_district_04
wake_12785,574,10,us_house_of_representatives_district_04
wake_43858,1159,171,us_house_of_representatives_district_04
wake_43844,1048,252,us_house_of_representatives_district_04
wake_43849,547,20,us_house_of_representatives_district_04
wake_16-03,388,258,us_house_of_representatives_district_04
wake_16-08,1761,324,us_house_of_representatives_district_04
wake_43848,4,4,us_house_of_representatives_district_04
wake_16-02,1193,303,us_house_of_representatives_district_04
wake_16072,722,428,us_house_of_representatives_district_04
wake_16803,752,139,us_house_of_representatives_district_04
wake_17-05,947,445,us_house_of_representatives_district_04
wake_17-07,901,196,us_house_of_representatives_district_04
wake_17-10,270,167,us_house_of_representatives_district_04
wake_13-09,967,370,us_house_of_representatives_district_04
wake_17-01,614,287,us_house_of_representatives_district_04
wake_18-01,914,364,us_house_of_representatives_district_04
wake_ONESTOP,22316,4418,us_house_of_representatives_district_04
wake_15707,477,272,us_house_of_representatives_district_04
wake_43851,850,360,us_house_of_representatives_district_04
wake_43852,1040,43,us_house_of_representatives_district_04
wake_12420,487,17,us_house_of_representatives_district_04
wake_13-05,405,199,us_house_of_representatives_district_04
wake_18264,696,45,us_house_of_representatives_district_04
wake_13-08,651,180,us_house_of_representatives_district_04
wake_17-09,972,93,us_house_of_representatives_district_04
wake_14611,1111,55,us_house_of_representatives_district_04
wake_43857,532,90,us_house_of_representatives_district_04
wake_43850,597,34,us_house_of_representatives_district_04
wake_13881,615,329,us_house_of_representatives_district_04
wake_13-01,914,252,us_house_of_representatives_district_04
wake_17-11,975,391,us_house_of_representatives_district_04
wake_17-03,1204,672,us_house_of_representatives_district_04
wake_43843,554,151,us_house_of_representatives_district_04
wake_13-07,510,316,us_house_of_representatives_district_04
wake_16-06,326,184,us_house_of_representatives_district_04
wake_43842,463,276,us_house_of_representatives_district_04
wake_44016,902,515,us_house_of_representatives_district_04
wake_13150,59,37,us_house_of_representatives_district_04
wake_44052,392,316,us_house_of_representatives_district_04
wake_14246,460,260,us_house_of_representatives_district_04
wake_18629,313,250,us_house_of_representatives_district_04
wake_43840,535,312,us_house_of_representatives_district_04
wake_17533,718,237,us_house_of_representatives_district_04
wake_43932,320,162,us_house_of_representatives_district_04
wake_43959,482,282,us_house_of_representatives_district_04
wake_43956,1241,858,us_house_of_representatives_district_04
wake_01-07A,133,11,us_house_of_representatives_district_04
wake_44049,395,155,us_house_of_representatives_district_04
wake_43831,575,195,us_house_of_representatives_district_04
wake_43837,536,161,us_house_of_representatives_district_04
wake_44022,876,601,us_house_of_representatives_district_04
wake_43958,1370,763,us_house_of_representatives_district_04
wake_17899,582,227,us_house_of_representatives_district_04
wake_11689,589,275,us_house_of_representatives_district_04
wake_12055,387,227,us_house_of_representatives_district_04
wake_43832,567,222,us_house_of_representatives_district_04
wake_43926,751,549,us_house_of_representatives_district_04
wake_14977,517,209,us_house_of_representatives_district_04
wake_43924,410,295,us_house_of_representatives_district_04
wake_43861,731,221,us_house_of_representatives_district_04
wake_44136,814,518,us_house_of_representatives_district_04
wake_43836,692,299,us_house_of_representatives_district_04
wake_18-06,804,466,us_house_of_representatives_district_04
wake_43846,596,290,us_house_of_representatives_district_04
wake_43942,337,142,us_house_of_representatives_district_04
wake_43839,480,165,us_house_of_representatives_district_04
