prec_id,Antonio Blue,Richard Hudson,election
anson_POLK,162,190,us_house_of_representatives_district_08
anson_ANS,262,224,us_house_of_representatives_district_08
anson_W1,655,277,us_house_of_representatives_district_08
anson_LILE,674,393,us_house_of_representatives_district_08
anson_W2,415,215,us_house_of_representatives_district_08
anson_W3,510,478,us_house_of_representatives_district_08
anson_GULL,280,171,us_house_of_representatives_district_08
anson_MM,426,116,us_house_of_representatives_district_08
anson_WS,64,77,us_house_of_representatives_district_08
anson_BURN,158,385,us_house_of_representatives_district_08
anson_ONESTOP,0,0,us_house_of_representatives_district_08
anson_PEAC,145,368,us_house_of_representatives_district_08
cabarrus_43868,381,1032,us_house_of_representatives_district_08
cabarrus_43839,101,364,us_house_of_representatives_district_08
cabarrus_44174,231,593,us_house_of_representatives_district_08
cabarrus_43838,499,799,us_house_of_representatives_district_08
cabarrus_44173,184,236,us_house_of_representatives_district_08
cabarrus_43864,719,1437,us_house_of_representatives_district_08
cabarrus_43863,575,1154,us_house_of_representatives_district_08
cabarrus_43834,724,1091,us_house_of_representatives_district_08
cabarrus_43837,322,870,us_house_of_representatives_district_08
cabarrus_44172,477,47,us_house_of_representatives_district_08
cabarrus_44177,272,510,us_house_of_representatives_district_08
cabarrus_44175,154,380,us_house_of_representatives_district_08
cabarrus_ONESTOP,37,30,us_house_of_representatives_district_08
cabarrus_44166,132,124,us_house_of_representatives_district_08
cabarrus_44167,417,230,us_house_of_representatives_district_08
cabarrus_43836,577,869,us_house_of_representatives_district_08
cabarrus_44171,315,357,us_house_of_representatives_district_08
cabarrus_43840,419,738,us_house_of_representatives_district_08
cabarrus_43928,139,572,us_house_of_representatives_district_08
cabarrus_36800,388,1575,us_house_of_representatives_district_08
cabarrus_44168,290,583,us_house_of_representatives_district_08
cabarrus_44169,349,559,us_house_of_representatives_district_08
cabarrus_43926,194,324,us_house_of_representatives_district_08
cabarrus_43929,189,414,us_house_of_representatives_district_08
cabarrus_43927,247,343,us_house_of_representatives_district_08
cabarrus_43866,552,1250,us_house_of_representatives_district_08
cabarrus_43925,276,309,us_house_of_representatives_district_08
cabarrus_43867,541,628,us_house_of_representatives_district_08
cabarrus_43832,250,775,us_house_of_representatives_district_08
cabarrus_43922,472,592,us_house_of_representatives_district_08
cabarrus_44176,189,373,us_house_of_representatives_district_08
cabarrus_43923,488,437,us_house_of_representatives_district_08
cabarrus_43930,342,873,us_house_of_representatives_district_08
cabarrus_44170,286,742,us_house_of_representatives_district_08
cabarrus_43862,347,697,us_house_of_representatives_district_08
cabarrus_44136,670,878,us_house_of_representatives_district_08
cabarrus_44137,250,939,us_house_of_representatives_district_08
cabarrus_43931,416,984,us_house_of_representatives_district_08
cabarrus_36647,225,918,us_house_of_representatives_district_08
cabarrus_36739,287,1347,us_house_of_representatives_district_08
cabarrus_36770,154,852,us_house_of_representatives_district_08
cabarrus_36678,127,808,us_house_of_representatives_district_08
cabarrus_43924,500,698,us_house_of_representatives_district_08
cabarrus_36708,60,408,us_house_of_representatives_district_08
davidson_58,239,811,us_house_of_representatives_district_08
davidson_52,277,1250,us_house_of_representatives_district_08
davidson_10,222,634,us_house_of_representatives_district_08
davidson_40,381,514,us_house_of_representatives_district_08
davidson_CURBSIDE,59,79,us_house_of_representatives_district_08
davidson_8,114,337,us_house_of_representatives_district_08
davidson_74,196,1138,us_house_of_representatives_district_08
davidson_18,121,674,us_house_of_representatives_district_08
davidson_56,71,451,us_house_of_representatives_district_08
davidson_42,78,738,us_house_of_representatives_district_08
davidson_68,263,474,us_house_of_representatives_district_08
davidson_54,65,535,us_house_of_representatives_district_08
davidson_14,97,585,us_house_of_representatives_district_08
davidson_20,144,815,us_house_of_representatives_district_08
davidson_76,186,1045,us_house_of_representatives_district_08
davidson_12,61,265,us_house_of_representatives_district_08
davidson_60,470,981,us_house_of_representatives_district_08
davidson_66,213,339,us_house_of_representatives_district_08
mecklenburg_CURBSIDE,29,7,us_house_of_representatives_district_08
mecklenburg_201,1571,781,us_house_of_representatives_district_08
mecklenburg_95,545,149,us_house_of_representatives_district_08
mecklenburg_83,797,402,us_house_of_representatives_district_08
montgomery_ROC,191,82,us_house_of_representatives_district_08
montgomery_CAN,258,330,us_house_of_representatives_district_08
montgomery_OPH,23,94,us_house_of_representatives_district_08
montgomery_CHE,80,207,us_house_of_representatives_district_08
montgomery_LIT,42,160,us_house_of_representatives_district_08
montgomery_T1,230,342,us_house_of_representatives_district_08
montgomery_WAD,110,102,us_house_of_representatives_district_08
montgomery_STA,100,497,us_house_of_representatives_district_08
montgomery_MTG,491,283,us_house_of_representatives_district_08
montgomery_BIS,249,289,us_house_of_representatives_district_08
montgomery_ONESTOP,699,1119,us_house_of_representatives_district_08
montgomery_PEE,75,304,us_house_of_representatives_district_08
montgomery_T2,133,287,us_house_of_representatives_district_08
montgomery_UWH,70,365,us_house_of_representatives_district_08
montgomery_ELD,82,371,us_house_of_representatives_district_08
randolph_UG,189,905,us_house_of_representatives_district_08
randolph_SW,121,936,us_house_of_representatives_district_08
randolph_TB,111,838,us_house_of_representatives_district_08
richmond_15,25,43,us_house_of_representatives_district_08
richmond_1,567,400,us_house_of_representatives_district_08
richmond_4,214,199,us_house_of_representatives_district_08
richmond_7,157,117,us_house_of_representatives_district_08
richmond_16,13,110,us_house_of_representatives_district_08
richmond_14,47,26,us_house_of_representatives_district_08
richmond_11,117,186,us_house_of_representatives_district_08
richmond_5,36,78,us_house_of_representatives_district_08
richmond_8,450,407,us_house_of_representatives_district_08
richmond_ONESTOP,2451,2707,us_house_of_representatives_district_08
richmond_3,38,201,us_house_of_representatives_district_08
richmond_6,66,243,us_house_of_representatives_district_08
richmond_9,473,847,us_house_of_representatives_district_08
richmond_10,188,88,us_house_of_representatives_district_08
richmond_12,186,315,us_house_of_representatives_district_08
richmond_2,364,796,us_house_of_representatives_district_08
richmond_13,108,194,us_house_of_representatives_district_08
robeson_15,175,41,us_house_of_representatives_district_08
robeson_41,203,572,us_house_of_representatives_district_08
robeson_25,173,168,us_house_of_representatives_district_08
robeson_28,126,140,us_house_of_representatives_district_08
robeson_4,245,222,us_house_of_representatives_district_08
robeson_7,151,86,us_house_of_representatives_district_08
robeson_05A,559,301,us_house_of_representatives_district_08
robeson_1,141,108,us_house_of_representatives_district_08
robeson_16,228,16,us_house_of_representatives_district_08
robeson_20,167,206,us_house_of_representatives_district_08
robeson_38,67,67,us_house_of_representatives_district_08
robeson_39,220,164,us_house_of_representatives_district_08
robeson_14,106,143,us_house_of_representatives_district_08
robeson_19,711,176,us_house_of_representatives_district_08
robeson_35,226,310,us_house_of_representatives_district_08
robeson_22,290,263,us_house_of_representatives_district_08
robeson_8,122,353,us_house_of_representatives_district_08
robeson_29,364,164,us_house_of_representatives_district_08
robeson_ONESTOP,3058,2156,us_house_of_representatives_district_08
robeson_11,308,996,us_house_of_representatives_district_08
robeson_36,127,164,us_house_of_representatives_district_08
robeson_12,211,169,us_house_of_representatives_district_08
robeson_17,69,40,us_house_of_representatives_district_08
robeson_9,170,184,us_house_of_representatives_district_08
robeson_40,108,82,us_house_of_representatives_district_08
robeson_32A,555,741,us_house_of_representatives_district_08
robeson_18A,146,334,us_house_of_representatives_district_08
robeson_23,319,350,us_house_of_representatives_district_08
robeson_24,109,104,us_house_of_representatives_district_08
robeson_3,106,349,us_house_of_representatives_district_08
robeson_30,263,243,us_house_of_representatives_district_08
robeson_11A,151,171,us_house_of_representatives_district_08
robeson_13,160,272,us_house_of_representatives_district_08
robeson_26A,529,164,us_house_of_representatives_district_08
robeson_2,309,128,us_house_of_representatives_district_08
robeson_37,32,182,us_house_of_representatives_district_08
rowan_3,115,911,us_house_of_representatives_district_08
rowan_23,75,528,us_house_of_representatives_district_08
rowan_26,91,659,us_house_of_representatives_district_08
rowan_22,44,302,us_house_of_representatives_district_08
rowan_13,91,678,us_house_of_representatives_district_08
rowan_33,84,675,us_house_of_representatives_district_08
rowan_05A,338,1239,us_house_of_representatives_district_08
rowan_25,207,1113,us_house_of_representatives_district_08
rowan_1,84,632,us_house_of_representatives_district_08
rowan_14A,439,1449,us_house_of_representatives_district_08
rowan_2,235,290,us_house_of_representatives_district_08
rowan_16,187,456,us_house_of_representatives_district_08
rowan_15,283,1125,us_house_of_representatives_district_08
rowan_17,221,543,us_house_of_representatives_district_08
rowan_10,181,1039,us_house_of_representatives_district_08
rowan_31,175,567,us_house_of_representatives_district_08
rowan_19A,323,1347,us_house_of_representatives_district_08
rowan_9,108,739,us_house_of_representatives_district_08
scotland_1,997,233,us_house_of_representatives_district_08
scotland_4,740,1102,us_house_of_representatives_district_08
scotland_7,871,516,us_house_of_representatives_district_08
scotland_2,657,173,us_house_of_representatives_district_08
scotland_5,170,424,us_house_of_representatives_district_08
scotland_8,190,371,us_house_of_representatives_district_08
scotland_ONESTOP,0,0,us_house_of_representatives_district_08
scotland_9,318,454,us_house_of_representatives_district_08
scotland_6,132,122,us_house_of_representatives_district_08
scotland_3,590,879,us_house_of_representatives_district_08
scotland_10,385,431,us_house_of_representatives_district_08
stanly_15,148,279,us_house_of_representatives_district_08
stanly_18,102,277,us_house_of_representatives_district_08
stanly_20,85,584,us_house_of_representatives_district_08
stanly_3,184,376,us_house_of_representatives_district_08
stanly_22,140,519,us_house_of_representatives_district_08
stanly_23,96,722,us_house_of_representatives_district_08
stanly_25,107,748,us_house_of_representatives_district_08
stanly_11,91,285,us_house_of_representatives_district_08
stanly_16,103,202,us_house_of_representatives_district_08
stanly_14,69,283,us_house_of_representatives_district_08
stanly_26,118,429,us_house_of_representatives_district_08
stanly_27,170,538,us_house_of_representatives_district_08
stanly_24,62,594,us_house_of_representatives_district_08
stanly_7,160,355,us_house_of_representatives_district_08
stanly_13,60,368,us_house_of_representatives_district_08
stanly_21,34,391,us_house_of_representatives_district_08
stanly_28,139,212,us_house_of_representatives_district_08
stanly_2,57,154,us_house_of_representatives_district_08
stanly_8,386,28,us_house_of_representatives_district_08
stanly_ONESTOP,1924,5327,us_house_of_representatives_district_08
stanly_10,83,237,us_house_of_representatives_district_08
stanly_12,27,192,us_house_of_representatives_district_08
stanly_17,113,423,us_house_of_representatives_district_08
stanly_19,76,445,us_house_of_representatives_district_08
union_8,587,377,us_house_of_representatives_district_08
union_23,248,698,us_house_of_representatives_district_08
union_26,155,558,us_house_of_representatives_district_08
union_037A,15,26,us_house_of_representatives_district_08
union_ONESTOP,0,0,us_house_of_representatives_district_08
union_43,298,73,us_house_of_representatives_district_08
union_6,144,583,us_house_of_representatives_district_08
union_11,133,894,us_house_of_representatives_district_08
union_21,21,84,us_house_of_representatives_district_08
union_9,371,224,us_house_of_representatives_district_08
union_1,200,93,us_house_of_representatives_district_08
union_24,163,733,us_house_of_representatives_district_08
union_7,358,628,us_house_of_representatives_district_08
union_27,159,637,us_house_of_representatives_district_08
union_30,571,1133,us_house_of_representatives_district_08
union_16,462,1194,us_house_of_representatives_district_08
union_038A,410,713,us_house_of_representatives_district_08
union_36,217,582,us_house_of_representatives_district_08
union_10,329,200,us_house_of_representatives_district_08
union_13,109,1041,us_house_of_representatives_district_08
union_4,396,86,us_house_of_representatives_district_08
union_5,117,353,us_house_of_representatives_district_08
union_25,203,567,us_house_of_representatives_district_08
union_42,194,307,us_house_of_representatives_district_08
union_39,162,670,us_house_of_representatives_district_08
union_3,227,214,us_house_of_representatives_district_08
union_2,436,255,us_house_of_representatives_district_08
union_34,334,1020,us_house_of_representatives_district_08
union_038B,307,717,us_house_of_representatives_district_08
union_31,80,155,us_house_of_representatives_district_08
union_12,127,969,us_house_of_representatives_district_08
union_32,337,1080,us_house_of_representatives_district_08
union_35,19,69,us_house_of_representatives_district_08
