prec_id,Mark Meadows,Tom Hill,election
avery_13,129,50,us_house_of_representatives_district_11
avery_18,93,19,us_house_of_representatives_district_11
avery_5,95,8,us_house_of_representatives_district_11
avery_8,116,17,us_house_of_representatives_district_11
avery_ONESTOP,651,251,us_house_of_representatives_district_11
avery_2,451,194,us_house_of_representatives_district_11
avery_14,221,42,us_house_of_representatives_district_11
avery_19,99,9,us_house_of_representatives_district_11
avery_11,135,44,us_house_of_representatives_district_11
avery_1,273,63,us_house_of_representatives_district_11
avery_16,326,131,us_house_of_representatives_district_11
avery_15,182,33,us_house_of_representatives_district_11
avery_12,90,12,us_house_of_representatives_district_11
avery_17,172,25,us_house_of_representatives_district_11
avery_4,25,8,us_house_of_representatives_district_11
avery_7,67,8,us_house_of_representatives_district_11
avery_9,122,7,us_house_of_representatives_district_11
avery_10,225,58,us_house_of_representatives_district_11
avery_3,167,22,us_house_of_representatives_district_11
avery_6,167,27,us_house_of_representatives_district_11
buncombe_19.1,122,191,us_house_of_representatives_district_11
buncombe_29.2,469,559,us_house_of_representatives_district_11
buncombe_43.2,0,0,us_house_of_representatives_district_11
buncombe_24.1,286,282,us_house_of_representatives_district_11
buncombe_15.1,34,161,us_house_of_representatives_district_11
buncombe_26.1,126,304,us_house_of_representatives_district_11
buncombe_16.2,3,6,us_house_of_representatives_district_11
buncombe_68.1,836,459,us_house_of_representatives_district_11
buncombe_ONESTOP,3763,4560,us_house_of_representatives_district_11
buncombe_51.2,475,405,us_house_of_representatives_district_11
buncombe_40.2,1068,629,us_house_of_representatives_district_11
buncombe_41.1,785,451,us_house_of_representatives_district_11
buncombe_67.1,618,780,us_house_of_representatives_district_11
buncombe_50.1,378,293,us_house_of_representatives_district_11
buncombe_59.1,936,884,us_house_of_representatives_district_11
buncombe_71.1,896,972,us_house_of_representatives_district_11
buncombe_58.1,508,447,us_house_of_representatives_district_11
buncombe_52.1,916,461,us_house_of_representatives_district_11
buncombe_49.1,901,453,us_house_of_representatives_district_11
buncombe_45.1,582,369,us_house_of_representatives_district_11
buncombe_48.1,675,372,us_house_of_representatives_district_11
buncombe_54.2,473,442,us_house_of_representatives_district_11
buncombe_56.2,450,442,us_house_of_representatives_district_11
buncombe_44.1,557,399,us_house_of_representatives_district_11
buncombe_47.1,796,408,us_house_of_representatives_district_11
buncombe_69.1,693,450,us_house_of_representatives_district_11
buncombe_30.2,331,215,us_house_of_representatives_district_11
buncombe_681,126,51,us_house_of_representatives_district_11
buncombe_63.1,141,119,us_house_of_representatives_district_11
buncombe_30.3,539,316,us_house_of_representatives_district_11
buncombe_46.1,198,205,us_house_of_representatives_district_11
buncombe_18.2,604,421,us_house_of_representatives_district_11
buncombe_53.1,780,452,us_house_of_representatives_district_11
burke_15,441,132,us_house_of_representatives_district_11
burke_18,139,84,us_house_of_representatives_district_11
burke_38,554,337,us_house_of_representatives_district_11
burke_13,896,205,us_house_of_representatives_district_11
burke_31,297,521,us_house_of_representatives_district_11
burke_34,422,494,us_house_of_representatives_district_11
burke_24,770,382,us_house_of_representatives_district_11
burke_40,468,273,us_house_of_representatives_district_11
burke_1,834,468,us_house_of_representatives_district_11
burke_0047-B,291,238,us_house_of_representatives_district_11
burke_3,377,120,us_house_of_representatives_district_11
burke_35,297,355,us_house_of_representatives_district_11
burke_22,631,237,us_house_of_representatives_district_11
burke_48,614,430,us_house_of_representatives_district_11
burke_20,313,203,us_house_of_representatives_district_11
burke_70,745,352,us_house_of_representatives_district_11
burke_ONESTOP,0,0,us_house_of_representatives_district_11
burke_19,186,109,us_house_of_representatives_district_11
burke_36,548,264,us_house_of_representatives_district_11
burke_52,285,203,us_house_of_representatives_district_11
burke_0047-A,438,556,us_house_of_representatives_district_11
burke_12,705,129,us_house_of_representatives_district_11
burke_21,370,189,us_house_of_representatives_district_11
burke_51,863,487,us_house_of_representatives_district_11
burke_62,209,133,us_house_of_representatives_district_11
burke_66,455,286,us_house_of_representatives_district_11
burke_11,755,195,us_house_of_representatives_district_11
burke_14,639,136,us_house_of_representatives_district_11
burke_39,336,330,us_house_of_representatives_district_11
burke_0029-B,310,156,us_house_of_representatives_district_11
burke_64,220,120,us_house_of_representatives_district_11
burke_53,575,240,us_house_of_representatives_district_11
burke_0029-A,362,79,us_house_of_representatives_district_11
burke_65,300,114,us_house_of_representatives_district_11
caldwell_PR14,408,132,us_house_of_representatives_district_11
caldwell_ONESTOP,6341,2837,us_house_of_representatives_district_11
caldwell_PR05,524,176,us_house_of_representatives_district_11
caldwell_PR16,120,148,us_house_of_representatives_district_11
caldwell_PR22,533,135,us_house_of_representatives_district_11
caldwell_PR25,277,92,us_house_of_representatives_district_11
caldwell_PR02,238,113,us_house_of_representatives_district_11
caldwell_PR21,503,156,us_house_of_representatives_district_11
caldwell_PR28,596,116,us_house_of_representatives_district_11
caldwell_PR30,185,223,us_house_of_representatives_district_11
caldwell_PR07,353,102,us_house_of_representatives_district_11
caldwell_PR31,155,92,us_house_of_representatives_district_11
caldwell_PR01,414,200,us_house_of_representatives_district_11
caldwell_PR06,399,150,us_house_of_representatives_district_11
caldwell_PR15,578,167,us_house_of_representatives_district_11
caldwell_PR13,570,145,us_house_of_representatives_district_11
caldwell_PR18,551,213,us_house_of_representatives_district_11
caldwell_PR17,262,126,us_house_of_representatives_district_11
caldwell_PR08,245,94,us_house_of_representatives_district_11
caldwell_PR24,279,92,us_house_of_representatives_district_11
