prec_id,Alma Adams,Vince Coakley,election
cabarrus_36586,511,1203,us_house_of_representatives_district_12
cabarrus_43870,1086,1211,us_house_of_representatives_district_12
cabarrus_ONESTOP,6,5,us_house_of_representatives_district_12
cabarrus_43869,913,1291,us_house_of_representatives_district_12
davidson_28,255,665,us_house_of_representatives_district_12
davidson_32,237,173,us_house_of_representatives_district_12
davidson_38,306,63,us_house_of_representatives_district_12
davidson_36,323,187,us_house_of_representatives_district_12
davidson_10,6,16,us_house_of_representatives_district_12
davidson_30,665,95,us_house_of_representatives_district_12
davidson_6,224,672,us_house_of_representatives_district_12
davidson_CURBSIDE,57,69,us_house_of_representatives_district_12
davidson_22,88,243,us_house_of_representatives_district_12
davidson_70,174,736,us_house_of_representatives_district_12
davidson_64,435,105,us_house_of_representatives_district_12
davidson_80A,305,1575,us_house_of_representatives_district_12
davidson_62,338,142,us_house_of_representatives_district_12
davidson_72,152,871,us_house_of_representatives_district_12
forsyth_42,602,644,us_house_of_representatives_district_12
forsyth_203,611,20,us_house_of_representatives_district_12
forsyth_206,691,72,us_house_of_representatives_district_12
forsyth_404,677,84,us_house_of_representatives_district_12
forsyth_405,499,16,us_house_of_representatives_district_12
forsyth_302,460,16,us_house_of_representatives_district_12
forsyth_304,1032,24,us_house_of_representatives_district_12
forsyth_402,598,15,us_house_of_representatives_district_12
forsyth_501,915,68,us_house_of_representatives_district_12
forsyth_204,583,41,us_house_of_representatives_district_12
forsyth_401,684,45,us_house_of_representatives_district_12
forsyth_403,573,35,us_house_of_representatives_district_12
forsyth_301,364,7,us_house_of_representatives_district_12
forsyth_303,291,2,us_house_of_representatives_district_12
forsyth_504,388,60,us_house_of_representatives_district_12
forsyth_505,531,129,us_house_of_representatives_district_12
forsyth_205,345,4,us_house_of_representatives_district_12
forsyth_502,601,20,us_house_of_representatives_district_12
forsyth_305,736,10,us_house_of_representatives_district_12
guilford_FEN1,1319,490,us_house_of_representatives_district_12
guilford_G43,636,343,us_house_of_representatives_district_12
guilford_H17,312,141,us_house_of_representatives_district_12
guilford_SUM1,674,370,us_house_of_representatives_district_12
guilford_CURBSIDE,319,39,us_house_of_representatives_district_12
guilford_H01,347,174,us_house_of_representatives_district_12
guilford_MON2A,942,384,us_house_of_representatives_district_12
guilford_H03,348,118,us_house_of_representatives_district_12
guilford_G61,654,158,us_house_of_representatives_district_12
guilford_G64,301,118,us_house_of_representatives_district_12
guilford_JEF3,1635,290,us_house_of_representatives_district_12
guilford_H12,343,165,us_house_of_representatives_district_12
guilford_JAM3,0,1,us_house_of_representatives_district_12
guilford_MON2B,568,289,us_house_of_representatives_district_12
guilford_G47,682,163,us_house_of_representatives_district_12
guilford_G60,473,196,us_house_of_representatives_district_12
guilford_G69,891,72,us_house_of_representatives_district_12
guilford_G26,1026,334,us_house_of_representatives_district_12
