prec_id,Bruce Davis,Ted Budd,election
davie_12,492,2049,us_house_of_representatives_district_13
davie_CURBSIDE,97,224,us_house_of_representatives_district_13
davie_7,252,909,us_house_of_representatives_district_13
davie_4,269,828,us_house_of_representatives_district_13
davie_9,429,1016,us_house_of_representatives_district_13
davie_3,266,1520,us_house_of_representatives_district_13
davie_6,240,883,us_house_of_representatives_district_13
davie_10,372,1360,us_house_of_representatives_district_13
davie_8,513,808,us_house_of_representatives_district_13
davie_11,143,1038,us_house_of_representatives_district_13
davie_14,307,1173,us_house_of_representatives_district_13
davie_ABSENTEE,190,527,us_house_of_representatives_district_13
davie_1,149,595,us_house_of_representatives_district_13
davie_13,499,1587,us_house_of_representatives_district_13
davie_5,278,1431,us_house_of_representatives_district_13
davie_2,152,588,us_house_of_representatives_district_13
davidson_74,374,1991,us_house_of_representatives_district_13
davidson_10,361,1210,us_house_of_representatives_district_13
davidson_56,109,718,us_house_of_representatives_district_13
davidson_66,401,548,us_house_of_representatives_district_13
davidson_40,555,670,us_house_of_representatives_district_13
davidson_60,871,1682,us_house_of_representatives_district_13
davidson_6,311,1390,us_house_of_representatives_district_13
davidson_24,189,627,us_house_of_representatives_district_13
davidson_26,166,496,us_house_of_representatives_district_13
davidson_50,329,1880,us_house_of_representatives_district_13
davidson_30,848,201,us_house_of_representatives_district_13
davidson_18,191,1093,us_house_of_representatives_district_13
davidson_CURBSIDE,0,0,us_house_of_representatives_district_13
davidson_64,634,208,us_house_of_representatives_district_13
davidson_8,187,513,us_house_of_representatives_district_13
davidson_22,112,456,us_house_of_representatives_district_13
davidson_42,147,1316,us_house_of_representatives_district_13
davidson_44,584,2002,us_house_of_representatives_district_13
davidson_82,315,1382,us_house_of_representatives_district_13
davidson_80A,490,2784,us_house_of_representatives_district_13
davidson_76,313,1743,us_house_of_representatives_district_13
davidson_70,255,1237,us_house_of_representatives_district_13
davidson_48,280,1339,us_house_of_representatives_district_13
davidson_68,503,714,us_house_of_representatives_district_13
davidson_34,469,521,us_house_of_representatives_district_13
davidson_88,375,1159,us_house_of_representatives_district_13
davidson_86A,705,1351,us_house_of_representatives_district_13
davidson_14,151,1059,us_house_of_representatives_district_13
davidson_16,298,1676,us_house_of_representatives_district_13
davidson_32,332,290,us_house_of_representatives_district_13
davidson_54,110,1018,us_house_of_representatives_district_13
davidson_4,778,2892,us_house_of_representatives_district_13
davidson_46,309,1333,us_house_of_representatives_district_13
davidson_58,409,1514,us_house_of_representatives_district_13
davidson_20,294,1441,us_house_of_representatives_district_13
davidson_38,466,120,us_house_of_representatives_district_13
davidson_ABSENTEE,824,2666,us_house_of_representatives_district_13
davidson_52,526,2250,us_house_of_representatives_district_13
davidson_36,418,304,us_house_of_representatives_district_13
davidson_12,95,419,us_house_of_representatives_district_13
davidson_84,708,2472,us_house_of_representatives_district_13
davidson_78,377,1680,us_house_of_representatives_district_13
davidson_28,378,1125,us_house_of_representatives_district_13
davidson_72,284,1470,us_house_of_representatives_district_13
davidson_62,553,236,us_house_of_representatives_district_13
guilford_G56,913,266,us_house_of_representatives_district_13
guilford_G59,773,204,us_house_of_representatives_district_13
guilford_G67,971,26,us_house_of_representatives_district_13
guilford_G64,1360,437,us_house_of_representatives_district_13
guilford_G53,1847,152,us_house_of_representatives_district_13
guilford_G15,733,329,us_house_of_representatives_district_13
guilford_H29A,854,615,us_house_of_representatives_district_13
guilford_H05,1142,202,us_house_of_representatives_district_13
guilford_G12,683,175,us_house_of_representatives_district_13
guilford_FR5A,648,845,us_house_of_representatives_district_13
guilford_H09,919,43,us_house_of_representatives_district_13
guilford_H14,354,798,us_house_of_representatives_district_13
guilford_G49,658,139,us_house_of_representatives_district_13
guilford_G61,1078,277,us_house_of_representatives_district_13
guilford_G48,1647,484,us_house_of_representatives_district_13
guilford_G50,1547,359,us_house_of_representatives_district_13
guilford_G42A,727,756,us_house_of_representatives_district_13
guilford_G43,1295,556,us_house_of_representatives_district_13
guilford_G22,562,832,us_house_of_representatives_district_13
guilford_FR5B,379,672,us_house_of_representatives_district_13
guilford_SUM1,977,549,us_house_of_representatives_district_13
guilford_H04,968,554,us_house_of_representatives_district_13
guilford_G40B,547,558,us_house_of_representatives_district_13
guilford_H20A,466,442,us_house_of_representatives_district_13
guilford_G45,2204,419,us_house_of_representatives_district_13
guilford_G44,1262,287,us_house_of_representatives_district_13
guilford_G23,610,422,us_house_of_representatives_district_13
guilford_JAM5,207,777,us_house_of_representatives_district_13
guilford_G19,559,610,us_house_of_representatives_district_13
guilford_G16,633,558,us_house_of_representatives_district_13
guilford_G31,589,545,us_house_of_representatives_district_13
guilford_FR1,1720,1027,us_house_of_representatives_district_13
guilford_G38,1048,774,us_house_of_representatives_district_13
guilford_G41A,587,520,us_house_of_representatives_district_13
guilford_ABS/CURB/PROV 4,4,15,us_house_of_representatives_district_13
guilford_H11,941,186,us_house_of_representatives_district_13
guilford_H18,980,280,us_house_of_representatives_district_13
guilford_H19B,362,319,us_house_of_representatives_district_13
guilford_G71,20,1,us_house_of_representatives_district_13
guilford_NCLAY1,687,1230,us_house_of_representatives_district_13
guilford_G30,577,790,us_house_of_representatives_district_13
guilford_G32,978,1012,us_house_of_representatives_district_13
guilford_G33,651,699,us_house_of_representatives_district_13
guilford_G35,549,473,us_house_of_representatives_district_13
guilford_G41B,655,677,us_house_of_representatives_district_13
guilford_JAM2,611,771,us_house_of_representatives_district_13
guilford_H10,1238,170,us_house_of_representatives_district_13
guilford_H13,526,761,us_house_of_representatives_district_13
guilford_H06,1172,755,us_house_of_representatives_district_13
guilford_FR4,443,692,us_house_of_representatives_district_13
guilford_G17,659,602,us_house_of_representatives_district_13
guilford_G11,831,284,us_house_of_representatives_district_13
guilford_H17,549,244,us_house_of_representatives_district_13
guilford_H19A,777,126,us_house_of_representatives_district_13
guilford_G57,1081,279,us_house_of_representatives_district_13
guilford_G21,1339,1118,us_house_of_representatives_district_13
guilford_H02,455,569,us_house_of_representatives_district_13
guilford_H01,753,318,us_house_of_representatives_district_13
guilford_G46,1754,84,us_house_of_representatives_district_13
guilford_H22,465,416,us_house_of_representatives_district_13
guilford_H28,1191,981,us_house_of_representatives_district_13
guilford_H25,1018,1593,us_house_of_representatives_district_13
guilford_SUM2,908,516,us_house_of_representatives_district_13
guilford_PG2,463,1502,us_house_of_representatives_district_13
guilford_G40A1,625,616,us_house_of_representatives_district_13
guilford_G54,1572,213,us_house_of_representatives_district_13
guilford_G65,1040,637,us_house_of_representatives_district_13
guilford_G62,594,376,us_house_of_representatives_district_13
guilford_G51,795,344,us_house_of_representatives_district_13
guilford_G47,1458,315,us_house_of_representatives_district_13
guilford_JAM1,839,1267,us_house_of_representatives_district_13
guilford_G13,779,359,us_house_of_representatives_district_13
guilford_ABS/PROV/CURB 1,240,124,us_house_of_representatives_district_13
guilford_G14,669,288,us_house_of_representatives_district_13
guilford_G42B,231,185,us_house_of_representatives_district_13
guilford_G52,1135,121,us_house_of_representatives_district_13
guilford_G55,1488,316,us_house_of_representatives_district_13
guilford_G58,1246,221,us_house_of_representatives_district_13
guilford_G66,989,767,us_house_of_representatives_district_13
guilford_G63,857,486,us_house_of_representatives_district_13
guilford_G60,889,290,us_house_of_representatives_district_13
guilford_H29B,1024,737,us_house_of_representatives_district_13
guilford_H07,819,75,us_house_of_representatives_district_13
guilford_H12,616,269,us_house_of_representatives_district_13
guilford_H15,654,625,us_house_of_representatives_district_13
guilford_G69,1376,129,us_house_of_representatives_district_13
guilford_PG1,431,815,us_house_of_representatives_district_13
guilford_SDRI,1252,2375,us_house_of_representatives_district_13
guilford_SUM3,210,715,us_house_of_representatives_district_13
guilford_SUM4,260,1194,us_house_of_representatives_district_13
guilford_G18,439,642,us_house_of_representatives_district_13
guilford_ABS/PROV/CURB 3,256,213,us_house_of_representatives_district_13
guilford_JAM4,487,1199,us_house_of_representatives_district_13
guilford_JAM3,592,836,us_house_of_representatives_district_13
guilford_H08,575,50,us_house_of_representatives_district_13
guilford_H03,713,197,us_house_of_representatives_district_13
guilford_H16,426,503,us_house_of_representatives_district_13
guilford_H20B,349,527,us_house_of_representatives_district_13
guilford_H26,665,872,us_house_of_representatives_district_13
guilford_G74,1476,46,us_house_of_representatives_district_13
guilford_FEN2,434,980,us_house_of_representatives_district_13
guilford_G73,1017,32,us_house_of_representatives_district_13
guilford_H23,364,668,us_house_of_representatives_district_13
guilford_H27-A,863,975,us_house_of_representatives_district_13
guilford_H27-B,499,603,us_house_of_representatives_district_13
guilford_G34,733,766,us_house_of_representatives_district_13
guilford_G36,836,519,us_house_of_representatives_district_13
guilford_G37,1303,461,us_house_of_representatives_district_13
guilford_G39,677,428,us_house_of_representatives_district_13
guilford_ABS/PROV/CURB 2,553,188,us_house_of_representatives_district_13
guilford_FR3,583,620,us_house_of_representatives_district_13
guilford_G01,792,96,us_house_of_representatives_district_13
guilford_G70,1489,48,us_house_of_representatives_district_13
guilford_G75,1131,93,us_house_of_representatives_district_13
guilford_NDRI,390,1436,us_house_of_representatives_district_13
guilford_H21,422,627,us_house_of_representatives_district_13
guilford_G20,865,961,us_house_of_representatives_district_13
guilford_FR2,722,944,us_house_of_representatives_district_13
guilford_H24,717,1025,us_house_of_representatives_district_13
guilford_FEN1,1940,793,us_house_of_representatives_district_13
iredell_DV2-A,668,2262,us_house_of_representatives_district_13
iredell_OL,175,709,us_house_of_representatives_district_13
iredell_ST3,1151,882,us_house_of_representatives_district_13
iredell_FT,559,985,us_house_of_representatives_district_13
iredell_UG,166,833,us_house_of_representatives_district_13
iredell_CC1,1394,2704,us_house_of_representatives_district_13
iredell_DV1-A,1428,3827,us_house_of_representatives_district_13
iredell_EM,151,661,us_house_of_representatives_district_13
iredell_CH-A,599,1103,us_house_of_representatives_district_13
iredell_SB,225,1054,us_house_of_representatives_district_13
iredell_ST1,1006,1566,us_house_of_representatives_district_13
iredell_ST4,918,1183,us_house_of_representatives_district_13
iredell_BA,776,2252,us_house_of_representatives_district_13
iredell_DV1-B,1655,5015,us_house_of_representatives_district_13
iredell_NH,149,687,us_house_of_representatives_district_13
iredell_ST2,876,1062,us_house_of_representatives_district_13
iredell_SH-B,434,1677,us_house_of_representatives_district_13
iredell_ST5,1065,987,us_house_of_representatives_district_13
iredell_CH-B,517,1221,us_house_of_representatives_district_13
iredell_ST6,1266,817,us_house_of_representatives_district_13
iredell_TB,474,1092,us_house_of_representatives_district_13
iredell_CC2,1454,2250,us_house_of_representatives_district_13
iredell_CC4,1365,2785,us_house_of_representatives_district_13
iredell_SH-A,465,1641,us_house_of_representatives_district_13
iredell_BE,981,2598,us_house_of_representatives_district_13
iredell_CC3,1716,3479,us_house_of_representatives_district_13
iredell_DV2-B,945,2207,us_house_of_representatives_district_13
iredell_CS,556,1267,us_house_of_representatives_district_13
iredell_CD,749,2388,us_house_of_representatives_district_13
rowan_32,308,813,us_house_of_representatives_district_13
rowan_34,913,751,us_house_of_representatives_district_13
rowan_39,624,680,us_house_of_representatives_district_13
rowan_21,569,1226,us_house_of_representatives_district_13
rowan_11,627,1354,us_house_of_representatives_district_13
rowan_29,190,679,us_house_of_representatives_district_13
rowan_42,977,33,us_house_of_representatives_district_13
rowan_7,473,820,us_house_of_representatives_district_13
rowan_41,891,836,us_house_of_representatives_district_13
rowan_27,231,645,us_house_of_representatives_district_13
rowan_28,228,174,us_house_of_representatives_district_13
rowan_12,585,652,us_house_of_representatives_district_13
rowan_24,189,711,us_house_of_representatives_district_13
rowan_40,862,815,us_house_of_representatives_district_13
rowan_45,416,462,us_house_of_representatives_district_13
rowan_35,549,266,us_house_of_representatives_district_13
rowan_38,1149,605,us_house_of_representatives_district_13
rowan_36,1097,673,us_house_of_representatives_district_13
