prec_id,George Holding,John P. McNeil,election
franklin_13,876,442,us_house_of_representatives_district_2
franklin_18,1319,623,us_house_of_representatives_district_2
franklin_16,567,874,us_house_of_representatives_district_2
franklin_14,1964,989,us_house_of_representatives_district_2
franklin_19,2124,1303,us_house_of_representatives_district_2
franklin_11,435,705,us_house_of_representatives_district_2
franklin_8,1161,778,us_house_of_representatives_district_2
franklin_5,968,541,us_house_of_representatives_district_2
franklin_2,393,589,us_house_of_representatives_district_2
franklin_15,613,1345,us_house_of_representatives_district_2
franklin_1,415,899,us_house_of_representatives_district_2
franklin_7,883,314,us_house_of_representatives_district_2
franklin_10,443,270,us_house_of_representatives_district_2
franklin_9,682,408,us_house_of_representatives_district_2
franklin_6,517,636,us_house_of_representatives_district_2
franklin_3,1145,1080,us_house_of_representatives_district_2
franklin_17,1623,799,us_house_of_representatives_district_2
franklin_12,488,424,us_house_of_representatives_district_2
harnett_OS ANDERSON,1172,818,us_house_of_representatives_district_2
harnett_OS ANGIER,1461,768,us_house_of_representatives_district_2
harnett_PR32,601,293,us_house_of_representatives_district_2
harnett_PR29,787,502,us_house_of_representatives_district_2
harnett_PR26,777,318,us_house_of_representatives_district_2
harnett_PR01,803,631,us_house_of_representatives_district_2
harnett_OS ERWIN,2122,1146,us_house_of_representatives_district_2
harnett_OS LOBBY,8869,6442,us_house_of_representatives_district_2
harnett_PR24,1259,374,us_house_of_representatives_district_2
harnett_PR28,1346,373,us_house_of_representatives_district_2
harnett_ABSENTEE,1144,527,us_house_of_representatives_district_2
harnett_PR31,195,216,us_house_of_representatives_district_2
harnett_PR20,364,452,us_house_of_representatives_district_2
harnett_PR08,817,465,us_house_of_representatives_district_2
harnett_OS WESTERN,2195,1684,us_house_of_representatives_district_2
harnett_PR16,872,554,us_house_of_representatives_district_2
harnett_PR07,1129,687,us_house_of_representatives_district_2
harnett_PR25,642,596,us_house_of_representatives_district_2
harnett_PR23,685,412,us_house_of_representatives_district_2
johnston_PR26,2,6,us_house_of_representatives_district_2
johnston_PR36,317,106,us_house_of_representatives_district_2
johnston_PR31A,367,151,us_house_of_representatives_district_2
johnston_PR34,557,418,us_house_of_representatives_district_2
johnston_PR12B,587,268,us_house_of_representatives_district_2
johnston_PR10A,267,263,us_house_of_representatives_district_2
johnston_PR09,632,258,us_house_of_representatives_district_2
johnston_PR29A,594,228,us_house_of_representatives_district_2
johnston_PR27B,369,238,us_house_of_representatives_district_2
johnston_PR10B,342,121,us_house_of_representatives_district_2
johnston_PR25,321,305,us_house_of_representatives_district_2
johnston_PR20,731,419,us_house_of_representatives_district_2
johnston_PR11A,420,193,us_house_of_representatives_district_2
johnston_PR21,711,140,us_house_of_representatives_district_2
johnston_PR27A,183,170,us_house_of_representatives_district_2
johnston_PR28,556,229,us_house_of_representatives_district_2
johnston_PR30,568,314,us_house_of_representatives_district_2
johnston_PR12A,513,257,us_house_of_representatives_district_2
johnston_PR32,579,212,us_house_of_representatives_district_2
johnston_PR24,259,353,us_house_of_representatives_district_2
johnston_PR31B,696,277,us_house_of_representatives_district_2
johnston_PR29B,880,362,us_house_of_representatives_district_2
johnston_PR11B,473,291,us_house_of_representatives_district_2
johnston_PR19,545,152,us_house_of_representatives_district_2
nash_P21A,150,368,us_house_of_representatives_district_2
nash_P06A,280,279,us_house_of_representatives_district_2
nash_MT PLEASANT OS,1465,679,us_house_of_representatives_district_2
nash_P14A,241,76,us_house_of_representatives_district_2
nash_P19A,680,400,us_house_of_representatives_district_2
nash_P08A,409,377,us_house_of_representatives_district_2
nash_ABSENTEE,623,365,us_house_of_representatives_district_2
nash_P04A,299,152,us_house_of_representatives_district_2
nash_P07A,223,67,us_house_of_representatives_district_2
nash_NASHVILLE OS,10974,8803,us_house_of_representatives_district_2
nash_P22A,34,369,us_house_of_representatives_district_2
nash_P10A,148,283,us_house_of_representatives_district_2
nash_SPRING HOPE OS,785,905,us_house_of_representatives_district_2
nash_P05A,663,78,us_house_of_representatives_district_2
nash_P15A,436,197,us_house_of_representatives_district_2
