prec_id,Ernest T. Reeves,Walter B. Jones,election
beaufort_ABSENTEE,198,355,us_house_of_representatives_district_3
beaufort_WASH4,134,267,us_house_of_representatives_district_3
beaufort_PSJW3,242,56,us_house_of_representatives_district_3
beaufort_AUROR,145,175,us_house_of_representatives_district_3
beaufort_OS BOE,3970,7654,us_house_of_representatives_district_3
beaufort_CHOCO,204,481,us_house_of_representatives_district_3
beaufort_OS AUR,294,280,us_house_of_representatives_district_3
beaufort_WASH1,199,150,us_house_of_representatives_district_3
beaufort_SURBA,94,605,us_house_of_representatives_district_3
beaufort_PANTE,117,300,us_house_of_representatives_district_3
beaufort_GILEA,74,206,us_house_of_representatives_district_3
beaufort_NCRK,76,445,us_house_of_representatives_district_3
beaufort_PINET,28,378,us_house_of_representatives_district_3
beaufort_HB,26,288,us_house_of_representatives_district_3
beaufort_WDPD,49,374,us_house_of_representatives_district_3
beaufort_RVRD,111,393,us_house_of_representatives_district_3
beaufort_TCRK,104,511,us_house_of_representatives_district_3
beaufort_OLDF,133,241,us_house_of_representatives_district_3
beaufort_BELHV,185,250,us_house_of_representatives_district_3
beaufort_OS CHO,247,785,us_house_of_representatives_district_3
beaufort_OS BEL,277,593,us_house_of_representatives_district_3
beaufort_WASHP,79,281,us_house_of_representatives_district_3
beaufort_BEADM,51,404,us_house_of_representatives_district_3
beaufort_WASH2,151,110,us_house_of_representatives_district_3
beaufort_EDWAR,127,191,us_house_of_representatives_district_3
beaufort_BLCK,130,160,us_house_of_representatives_district_3
carteret_NRIV,82,54,us_house_of_representatives_district_3
carteret_ATSL,38,219,us_house_of_representatives_district_3
carteret_BOGU,89,487,us_house_of_representatives_district_3
carteret_IBSP,30,127,us_house_of_representatives_district_3
carteret_DASW,29,163,us_house_of_representatives_district_3
carteret_NPT2,80,462,us_house_of_representatives_district_3
carteret_MASM,48,206,us_house_of_representatives_district_3
carteret_BFT2,122,362,us_house_of_representatives_district_3
carteret_PKNL,111,360,us_house_of_representatives_district_3
carteret_HAIS,35,295,us_house_of_representatives_district_3
carteret_OS-BOE,1939,4475,us_house_of_representatives_district_3
carteret_EMIS,123,594,us_house_of_representatives_district_3
carteret_CISL,11,85,us_house_of_representatives_district_3
carteret_ABSENTEE,340,919,us_house_of_representatives_district_3
carteret_MHD3,122,579,us_house_of_representatives_district_3
carteret_MHD4,92,416,us_house_of_representatives_district_3
carteret_NPT1,134,576,us_house_of_representatives_district_3
carteret_WILD,115,463,us_house_of_representatives_district_3
carteret_PELE,31,229,us_house_of_representatives_district_3
carteret_OS-CEN,1214,5510,us_house_of_representatives_district_3
carteret_MHD1,102,332,us_house_of_representatives_district_3
carteret_MCRK,22,200,us_house_of_representatives_district_3
carteret_MHD2,124,355,us_house_of_representatives_district_3
carteret_BFT1,126,122,us_house_of_representatives_district_3
carteret_OTBE,56,400,us_house_of_representatives_district_3
carteret_MERR,43,144,us_house_of_representatives_district_3
carteret_ABCH,66,350,us_house_of_representatives_district_3
carteret_BCRK,72,468,us_house_of_representatives_district_3
carteret_CCCP,68,384,us_house_of_representatives_district_3
carteret_WIHA,68,257,us_house_of_representatives_district_3
carteret_STEL,62,366,us_house_of_representatives_district_3
carteret_OS-EAS,73,488,us_house_of_representatives_district_3
carteret_OS-MHD,1446,3580,us_house_of_representatives_district_3
carteret_OS-WES,1134,4604,us_house_of_representatives_district_3
camden_SH,70,467,us_house_of_representatives_district_3
camden_SM,193,689,us_house_of_representatives_district_3
camden_ABSENTEE,35,84,us_house_of_representatives_district_3
camden_CH,146,415,us_house_of_representatives_district_3
craven_14,809,1496,us_house_of_representatives_district_3
craven_19,889,1155,us_house_of_representatives_district_3
craven_2,1606,3688,us_house_of_representatives_district_3
craven_8,263,430,us_house_of_representatives_district_3
craven_5,526,1412,us_house_of_representatives_district_3
craven_16,655,2064,us_house_of_representatives_district_3
craven_20,640,1626,us_house_of_representatives_district_3
craven_15,186,398,us_house_of_representatives_district_3
craven_17,270,1295,us_house_of_representatives_district_3
craven_12,32,334,us_house_of_representatives_district_3
craven_N1,807,723,us_house_of_representatives_district_3
craven_N2,1024,434,us_house_of_representatives_district_3
craven_4,312,501,us_house_of_representatives_district_3
craven_7,620,1098,us_house_of_representatives_district_3
craven_N6,1109,2024,us_house_of_representatives_district_3
craven_N5,772,455,us_house_of_representatives_district_3
craven_13,84,431,us_house_of_representatives_district_3
craven_6,448,476,us_house_of_representatives_district_3
craven_3,525,2243,us_house_of_representatives_district_3
craven_21,447,1516,us_house_of_representatives_district_3
craven_9,173,202,us_house_of_representatives_district_3
craven_11,353,1504,us_house_of_representatives_district_3
craven_10,164,459,us_house_of_representatives_district_3
craven_N3,539,806,us_house_of_representatives_district_3
craven_N4,1254,1246,us_house_of_representatives_district_3
craven_23,1004,2507,us_house_of_representatives_district_3
dare_ABSENTEE,398,603,us_house_of_representatives_district_3
dare_FRCO,126,374,us_house_of_representatives_district_3
dare_MH,68,283,us_house_of_representatives_district_3
dare_WAN,126,578,us_house_of_representatives_district_3
dare_STPT,12,92,us_house_of_representatives_district_3
dare_AVON,130,311,us_house_of_representatives_district_3
dare_CHCA,137,250,us_house_of_representatives_district_3
dare_EL,11,38,us_house_of_representatives_district_3
dare_KDH,1176,2026,us_house_of_representatives_district_3
dare_KTHK,597,1260,us_house_of_representatives_district_3
dare_HAT,67,265,us_house_of_representatives_district_3
dare_DUCK,133,187,us_house_of_representatives_district_3
dare_BUX,152,528,us_house_of_representatives_district_3
dare_COL,726,1376,us_house_of_representatives_district_3
dare_MATO,1122,1955,us_house_of_representatives_district_3
dare_NGHD,613,1009,us_house_of_representatives_district_3
dare_SOSH,784,1457,us_house_of_representatives_district_3
dare_CURBSIDE,0,0,us_house_of_representatives_district_3
chowan_4,81,140,us_house_of_representatives_district_3
chowan_1,180,130,us_house_of_representatives_district_3
chowan_5,63,194,us_house_of_representatives_district_3
chowan_2,223,213,us_house_of_representatives_district_3
chowan_6,88,231,us_house_of_representatives_district_3
chowan_3,56,362,us_house_of_representatives_district_3
chowan_OS BOE,1846,2538,us_house_of_representatives_district_3
chowan_OS NCC,102,271,us_house_of_representatives_district_3
chowan_ABSENTEE,99,163,us_house_of_representatives_district_3
currituck_ABSENTEE,96,246,us_house_of_representatives_district_3
currituck_KI,95,496,us_house_of_representatives_district_3
currituck_GW,27,153,us_house_of_representatives_district_3
currituck_CH,175,827,us_house_of_representatives_district_3
currituck_WH,110,216,us_house_of_representatives_district_3
currituck_IR,78,324,us_house_of_representatives_district_3
currituck_PB,276,1040,us_house_of_representatives_district_3
currituck_CJ,59,183,us_house_of_representatives_district_3
currituck_PP,192,532,us_house_of_representatives_district_3
currituck_MY,339,1569,us_house_of_representatives_district_3
currituck_CB,37,65,us_house_of_representatives_district_3
currituck_CI,20,112,us_house_of_representatives_district_3
greene_SHIN,91,289,us_house_of_representatives_district_3
greene_MAUR,171,334,us_house_of_representatives_district_3
greene_SH#1,69,191,us_house_of_representatives_district_3
greene_ABSENTEE,260,84,us_house_of_representatives_district_3
greene_BEAR,47,145,us_house_of_representatives_district_3
greene_HOOK,77,185,us_house_of_representatives_district_3
greene_WALS,107,263,us_house_of_representatives_district_3
greene_SUGG,89,164,us_house_of_representatives_district_3
greene_CAST,53,253,us_house_of_representatives_district_3
greene_BULL,103,142,us_house_of_representatives_district_3
greene_ARBA,93,164,us_house_of_representatives_district_3
hyde_FF,46,145,us_house_of_representatives_district_3
hyde_ABSENTEE,23,36,us_house_of_representatives_district_3
hyde_ENG,65,193,us_house_of_representatives_district_3
hyde_OS OCK,150,95,us_house_of_representatives_district_3
hyde_SQ,34,156,us_house_of_representatives_district_3
hyde_BM,10,150,us_house_of_representatives_district_3
hyde_LL,90,129,us_house_of_representatives_district_3
hyde_OS BOE,189,311,us_house_of_representatives_district_3
hyde_SLAD,54,127,us_house_of_representatives_district_3
hyde_OCK,105,145,us_house_of_representatives_district_3
jones_P07,267,251,us_house_of_representatives_district_3
jones_P04,173,362,us_house_of_representatives_district_3
jones_P01,96,202,us_house_of_representatives_district_3
jones_P06,46,232,us_house_of_representatives_district_3
jones_P03,35,203,us_house_of_representatives_district_3
jones_ABSENTEE,26,78,us_house_of_representatives_district_3
jones_P05,249,212,us_house_of_representatives_district_3
jones_P02,22,154,us_house_of_representatives_district_3
lenoir_I,296,844,us_house_of_representatives_district_3
lenoir_K3,607,181,us_house_of_representatives_district_3
lenoir_K6,1014,220,us_house_of_representatives_district_3
lenoir_K8,583,35,us_house_of_representatives_district_3
lenoir_K2,489,43,us_house_of_representatives_district_3
lenoir_K5,627,274,us_house_of_representatives_district_3
lenoir_C,635,867,us_house_of_representatives_district_3
lenoir_MH,1053,1386,us_house_of_representatives_district_3
lenoir_N,603,1520,us_house_of_representatives_district_3
lenoir_K7,940,240,us_house_of_representatives_district_3
lenoir_K1,475,25,us_house_of_representatives_district_3
lenoir_CURBSIDE,420,170,us_house_of_representatives_district_3
lenoir_PH2,105,671,us_house_of_representatives_district_3
lenoir_T1,135,777,us_house_of_representatives_district_3
lenoir_ABSENTEE,176,330,us_house_of_representatives_district_3
lenoir_FC,694,2181,us_house_of_representatives_district_3
lenoir_W,92,730,us_house_of_representatives_district_3
lenoir_SW,104,592,us_house_of_representatives_district_3
lenoir_K9,774,555,us_house_of_representatives_district_3
lenoir_K4,674,1043,us_house_of_representatives_district_3
lenoir_T2,79,552,us_house_of_representatives_district_3
lenoir_V,699,725,us_house_of_representatives_district_3
lenoir_SH,102,410,us_house_of_representatives_district_3
lenoir_PH1,76,380,us_house_of_representatives_district_3
pamlico_4HB,6,129,us_house_of_representatives_district_3
pamlico_5AP,401,1053,us_house_of_representatives_district_3
pamlico_ABSENTEE,110,121,us_house_of_representatives_district_3
pamlico_4MSIC,48,78,us_house_of_representatives_district_3
pamlico_4VM A,67,68,us_house_of_representatives_district_3
pamlico_1AL A,78,243,us_house_of_representatives_district_3
pamlico_1RB,185,775,us_house_of_representatives_district_3
pamlico_2OT,531,875,us_house_of_representatives_district_3
pamlico_1GB,103,512,us_house_of_representatives_district_3
pamlico_2SW,97,213,us_house_of_representatives_district_3
pamlico_CURBSIDE,65,75,us_house_of_representatives_district_3
pamlico_3BY,437,465,us_house_of_representatives_district_3
pitt_1511A,175,538,us_house_of_representatives_district_3
pitt_1510B,163,372,us_house_of_representatives_district_3
pitt_ABSENTEE #2,114,179,us_house_of_representatives_district_3
pitt_OS WILLIS BUILDING #2,483,571,us_house_of_representatives_district_3
pitt_1102B,187,654,us_house_of_representatives_district_3
pitt_1301,39,260,us_house_of_representatives_district_3
pitt_OS AYDEN #2,5,19,us_house_of_representatives_district_3
pitt_1509,58,152,us_house_of_representatives_district_3
pitt_OS COMMUNITY SCHOOLS 2,1771,3246,us_house_of_representatives_district_3
pitt_1403B,239,424,us_house_of_representatives_district_3
pitt_1001,293,547,us_house_of_representatives_district_3
pitt_OS COMMUNITY SCHOOLS 1,2287,5895,us_house_of_representatives_district_3
pitt_OS COUNTY OFFICE 1,1240,1061,us_house_of_representatives_district_3
pitt_OS FARMVILLE 2,5,14,us_house_of_representatives_district_3
pitt_OS FARMVILLE 1,776,1260,us_house_of_representatives_district_3
pitt_ABSENTEE #1,291,401,us_house_of_representatives_district_3
pitt_1403A2,149,220,us_house_of_representatives_district_3
pitt_1102A,141,460,us_house_of_representatives_district_3
pitt_1101,160,266,us_house_of_representatives_district_3
pitt_OS COUNTY OFFICE 2,254,263,us_house_of_representatives_district_3
pitt_OS WINTERVILLE #2,1061,1575,us_house_of_representatives_district_3
pitt_OS AYDEN #1,608,1038,us_house_of_representatives_district_3
pitt_OS AG CENTER 2,132,187,us_house_of_representatives_district_3
pitt_1511B,275,410,us_house_of_representatives_district_3
pitt_0200B,185,211,us_house_of_representatives_district_3
pitt_OS ECU-WILLIS BLDG 1,354,733,us_house_of_representatives_district_3
pitt_OS AG CENTER 1,482,756,us_house_of_representatives_district_3
pitt_601,117,580,us_house_of_representatives_district_3
pitt_1510A,116,449,us_house_of_representatives_district_3
pitt_1513B,157,285,us_house_of_representatives_district_3
pitt_1513A,170,358,us_house_of_representatives_district_3
pitt_OS WINTERVILLE #1,1941,3437,us_house_of_representatives_district_3
pitt_901,82,239,us_house_of_representatives_district_3
pitt_101,279,448,us_house_of_representatives_district_3
pitt_701,124,454,us_house_of_representatives_district_3
pitt_0800A,123,345,us_house_of_representatives_district_3
pitt_0200A,147,331,us_house_of_representatives_district_3
pitt_0800B,148,337,us_house_of_representatives_district_3
pitt_1403A1,132,322,us_house_of_representatives_district_3
onslow_NE22B,336,836,us_house_of_representatives_district_3
onslow_RL09,290,805,us_house_of_representatives_district_3
onslow_HN14,135,525,us_house_of_representatives_district_3
onslow_OS-SWANSBORO ROTARY,888,3628,us_house_of_representatives_district_3
onslow_TL06,143,506,us_house_of_representatives_district_3
onslow_NM13,45,412,us_house_of_representatives_district_3
onslow_CL10,101,578,us_house_of_representatives_district_3
onslow_HM05,279,735,us_house_of_representatives_district_3
onslow_WN04,221,735,us_house_of_representatives_district_3
onslow_FS16,158,969,us_house_of_representatives_district_3
onslow_NE22A,301,470,us_house_of_representatives_district_3
onslow_ABSENTEE,478,1378,us_house_of_representatives_district_3
onslow_SW19,164,697,us_house_of_representatives_district_3
onslow_NR02,251,95,us_house_of_representatives_district_3
onslow_HU20,151,629,us_house_of_representatives_district_3
onslow_HR17,189,642,us_house_of_representatives_district_3
onslow_EN03,679,930,us_house_of_representatives_district_3
onslow_OS-ONSLOW OFFICE,4519,9266,us_house_of_representatives_district_3
onslow_GB12,196,672,us_house_of_representatives_district_3
onslow_JA01,263,672,us_house_of_representatives_district_3
onslow_BM08,460,780,us_house_of_representatives_district_3
onslow_ML23,80,363,us_house_of_representatives_district_3
onslow_VR15,72,347,us_house_of_representatives_district_3
onslow_CR07,225,720,us_house_of_representatives_district_3
onslow_BC21,177,799,us_house_of_representatives_district_3
onslow_OS-VERONA,503,2384,us_house_of_representatives_district_3
onslow_OS-COMMONS REC CTR,4078,6576,us_house_of_representatives_district_3
onslow_SF18,235,1206,us_house_of_representatives_district_3
onslow_MT24,67,457,us_house_of_representatives_district_3
perquimans_CURBSIDE,0,0,us_house_of_representatives_district_3
perquimans_BELVID,135,362,us_house_of_representatives_district_3
perquimans_EAST H,327,294,us_house_of_representatives_district_3
perquimans_PARKVI,450,781,us_house_of_representatives_district_3
perquimans_ABSENTEE,51,115,us_house_of_representatives_district_3
perquimans_WEST H,214,349,us_house_of_representatives_district_3
perquimans_NICANO,42,114,us_house_of_representatives_district_3
perquimans_NEW HO,387,1040,us_house_of_representatives_district_3
perquimans_BETHEL,499,1328,us_house_of_representatives_district_3
pasquotank_NEW,258,357,us_house_of_representatives_district_3
pasquotank_EAST,213,223,us_house_of_representatives_district_3
pasquotank_NORTH,266,199,us_house_of_representatives_district_3
pasquotank_SAL,58,234,us_house_of_representatives_district_3
pasquotank_PRO,266,722,us_house_of_representatives_district_3
pasquotank_NIX,147,483,us_house_of_representatives_district_3
