prec_id,Josh Brannon,Virginia Foxx,election
avery_18,24,116,us_house_of_representatives_district_5
avery_13,45,155,us_house_of_representatives_district_5
avery_2,247,569,us_house_of_representatives_district_5
avery_16,105,354,us_house_of_representatives_district_5
avery_14,41,231,us_house_of_representatives_district_5
avery_19,10,133,us_house_of_representatives_district_5
avery_8,25,134,us_house_of_representatives_district_5
avery_5,18,106,us_house_of_representatives_district_5
avery_11,47,137,us_house_of_representatives_district_5
avery_12,15,115,us_house_of_representatives_district_5
avery_17,36,226,us_house_of_representatives_district_5
avery_9,23,152,us_house_of_representatives_district_5
avery_10,64,261,us_house_of_representatives_district_5
avery_6,43,263,us_house_of_representatives_district_5
avery_3,38,198,us_house_of_representatives_district_5
avery_4,9,25,us_house_of_representatives_district_5
avery_7,10,109,us_house_of_representatives_district_5
avery_1,76,295,us_house_of_representatives_district_5
avery_ABSENTEE,85,243,us_house_of_representatives_district_5
avery_15,40,175,us_house_of_representatives_district_5
ashe_17,62,282,us_house_of_representatives_district_5
ashe_4,57,123,us_house_of_representatives_district_5
ashe_7,48,107,us_house_of_representatives_district_5
ashe_12,89,241,us_house_of_representatives_district_5
ashe_15,75,278,us_house_of_representatives_district_5
ashe_20,244,550,us_house_of_representatives_district_5
ashe_10,26,69,us_house_of_representatives_district_5
ashe_ABSENTEE,156,322,us_house_of_representatives_district_5
ashe_8,30,47,us_house_of_representatives_district_5
ashe_16,109,356,us_house_of_representatives_district_5
ashe_14,120,325,us_house_of_representatives_district_5
ashe_2,124,334,us_house_of_representatives_district_5
ashe_11,183,450,us_house_of_representatives_district_5
ashe_13,110,290,us_house_of_representatives_district_5
ashe_18,17,57,us_house_of_representatives_district_5
ashe_9,252,566,us_house_of_representatives_district_5
ashe_6,50,155,us_house_of_representatives_district_5
ashe_3,31,196,us_house_of_representatives_district_5
alleghany_03A,769,1663,us_house_of_representatives_district_5
alleghany_ABSENTEE,0,0,us_house_of_representatives_district_5
alleghany_4,234,715,us_house_of_representatives_district_5
alleghany_1,191,659,us_house_of_representatives_district_5
alleghany_CURBSIDE,0,0,us_house_of_representatives_district_5
alleghany_06A,264,775,us_house_of_representatives_district_5
alexander_T1T4T5,681,1987,us_house_of_representatives_district_5
alexander_E,428,1299,us_house_of_representatives_district_5
alexander_B1,467,1638,us_house_of_representatives_district_5
alexander_G1G2,306,860,us_house_of_representatives_district_5
alexander_S1S2,479,1449,us_house_of_representatives_district_5
alexander_W,271,979,us_house_of_representatives_district_5
alexander_T2T3,590,1344,us_house_of_representatives_district_5
alexander_M,290,868,us_house_of_representatives_district_5
alexander_B2,565,1902,us_house_of_representatives_district_5
alexander_LRSL,290,1172,us_house_of_representatives_district_5
catawba_ABSENTEE,66,133,us_house_of_representatives_district_5
catawba_29,381,1129,us_house_of_representatives_district_5
catawba_CURBSIDE,9,20,us_house_of_representatives_district_5
catawba_39,412,1263,us_house_of_representatives_district_5
catawba_38,643,1397,us_house_of_representatives_district_5
forsyth_73,611,1459,us_house_of_representatives_district_5
forsyth_72,1352,2138,us_house_of_representatives_district_5
forsyth_507,2066,1177,us_house_of_representatives_district_5
forsyth_908,830,1072,us_house_of_representatives_district_5
forsyth_131,908,1236,us_house_of_representatives_district_5
forsyth_402,706,48,us_house_of_representatives_district_5
forsyth_405,1439,48,us_house_of_representatives_district_5
forsyth_601,978,329,us_house_of_representatives_district_5
forsyth_604,792,204,us_house_of_representatives_district_5
forsyth_802,490,623,us_house_of_representatives_district_5
forsyth_805,811,843,us_house_of_representatives_district_5
forsyth_403,846,83,us_house_of_representatives_district_5
forsyth_71,920,1482,us_house_of_representatives_district_5
forsyth_91,423,988,us_house_of_representatives_district_5
forsyth_207,1098,257,us_house_of_representatives_district_5
forsyth_31,558,805,us_house_of_representatives_district_5
forsyth_701,464,487,us_house_of_representatives_district_5
forsyth_702,736,380,us_house_of_representatives_district_5
forsyth_707,544,372,us_house_of_representatives_district_5
forsyth_302,566,38,us_house_of_representatives_district_5
forsyth_101,741,686,us_house_of_representatives_district_5
forsyth_909,490,399,us_house_of_representatives_district_5
forsyth_133,1370,2352,us_house_of_representatives_district_5
forsyth_304,1175,60,us_house_of_representatives_district_5
forsyth_51,648,1083,us_house_of_representatives_district_5
forsyth_67,489,685,us_house_of_representatives_district_5
forsyth_83,890,468,us_house_of_representatives_district_5
forsyth_803,468,752,us_house_of_representatives_district_5
forsyth_806,574,667,us_house_of_representatives_district_5
forsyth_809,837,942,us_house_of_representatives_district_5
forsyth_709,1088,777,us_house_of_representatives_district_5
forsyth_ABS/PROV/CURB 4,1500,1472,us_house_of_representatives_district_5
forsyth_205,473,22,us_house_of_representatives_district_5
forsyth_401,912,106,us_house_of_representatives_district_5
forsyth_34,559,876,us_house_of_representatives_district_5
forsyth_33,922,622,us_house_of_representatives_district_5
forsyth_21,559,1798,us_house_of_representatives_district_5
forsyth_11,1290,1871,us_house_of_representatives_district_5
forsyth_122,2139,1568,us_house_of_representatives_district_5
forsyth_65,787,1650,us_house_of_representatives_district_5
forsyth_63,803,1714,us_house_of_representatives_district_5
forsyth_68,577,1243,us_house_of_representatives_district_5
forsyth_901,736,490,us_house_of_representatives_district_5
forsyth_906,1216,833,us_house_of_representatives_district_5
forsyth_ABS/PROV/CURB 2,2810,2569,us_house_of_representatives_district_5
forsyth_305,846,48,us_house_of_representatives_district_5
forsyth_502,750,72,us_house_of_representatives_district_5
forsyth_503,789,165,us_house_of_representatives_district_5
forsyth_204,813,103,us_house_of_representatives_district_5
forsyth_53,543,1080,us_house_of_representatives_district_5
forsyth_14,417,946,us_house_of_representatives_district_5
forsyth_43,805,898,us_house_of_representatives_district_5
forsyth_706,482,328,us_house_of_representatives_district_5
forsyth_705,880,499,us_house_of_representatives_district_5
forsyth_132,1066,1509,us_house_of_representatives_district_5
forsyth_804,437,479,us_house_of_representatives_district_5
forsyth_807,618,702,us_house_of_representatives_district_5
forsyth_801,476,395,us_house_of_representatives_district_5
forsyth_605,1473,732,us_house_of_representatives_district_5
forsyth_602,1683,995,us_house_of_representatives_district_5
forsyth_32,638,1045,us_house_of_representatives_district_5
forsyth_74,958,1078,us_house_of_representatives_district_5
forsyth_111,320,917,us_house_of_representatives_district_5
forsyth_123,878,891,us_house_of_representatives_district_5
forsyth_501,1195,126,us_house_of_representatives_district_5
forsyth_506,574,397,us_house_of_representatives_district_5
forsyth_607,930,565,us_house_of_representatives_district_5
forsyth_904,1046,337,us_house_of_representatives_district_5
forsyth_907,743,474,us_house_of_representatives_district_5
forsyth_902,882,261,us_house_of_representatives_district_5
forsyth_52,341,524,us_house_of_representatives_district_5
forsyth_603,1016,280,us_house_of_representatives_district_5
forsyth_66,450,958,us_house_of_representatives_district_5
forsyth_203,920,56,us_house_of_representatives_district_5
forsyth_808,1333,698,us_house_of_representatives_district_5
forsyth_ABS/PROV/CURB 3,3545,1880,us_house_of_representatives_district_5
forsyth_606,708,360,us_house_of_representatives_district_5
forsyth_708,1420,1117,us_house_of_representatives_district_5
forsyth_61,529,756,us_house_of_representatives_district_5
forsyth_81,1306,755,us_house_of_representatives_district_5
forsyth_201,1958,384,us_house_of_representatives_district_5
forsyth_206,882,127,us_house_of_representatives_district_5
forsyth_12,431,1228,us_house_of_representatives_district_5
forsyth_15,424,847,us_house_of_representatives_district_5
forsyth_64,313,456,us_house_of_representatives_district_5
forsyth_55,855,1455,us_house_of_representatives_district_5
forsyth_301,551,20,us_house_of_representatives_district_5
forsyth_505,833,209,us_house_of_representatives_district_5
forsyth_504,607,127,us_house_of_representatives_district_5
forsyth_404,1166,242,us_house_of_representatives_district_5
forsyth_704,789,416,us_house_of_representatives_district_5
