prec_id,Richard Hudson,Thomas Mills,election
cabarrus_44175,330,125,us_house_of_representatives_district_8
cabarrus_44177,464,248,us_house_of_representatives_district_8
cabarrus_43837,563,195,us_house_of_representatives_district_8
cabarrus_43834,777,487,us_house_of_representatives_district_8
cabarrus_43870,744,569,us_house_of_representatives_district_8
cabarrus_43867,499,431,us_house_of_representatives_district_8
cabarrus_43931,549,296,us_house_of_representatives_district_8
cabarrus_43929,318,121,us_house_of_representatives_district_8
cabarrus_43928,371,106,us_house_of_representatives_district_8
cabarrus_36739,1205,236,us_house_of_representatives_district_8
cabarrus_36770,943,149,us_house_of_representatives_district_8
cabarrus_OS-CBB,4572,2753,us_house_of_representatives_district_8
cabarrus_36586,822,313,us_house_of_representatives_district_8
cabarrus_43926,225,166,us_house_of_representatives_district_8
cabarrus_36800,1714,410,us_house_of_representatives_district_8
cabarrus_44173,240,190,us_house_of_representatives_district_8
cabarrus_44172,50,399,us_house_of_representatives_district_8
cabarrus_43922,406,362,us_house_of_representatives_district_8
cabarrus_OS-CFS,6442,4083,us_house_of_representatives_district_8
cabarrus_44168,412,191,us_house_of_representatives_district_8
cabarrus_44169,287,283,us_house_of_representatives_district_8
cabarrus_43923,292,367,us_house_of_representatives_district_8
cabarrus_43930,516,225,us_house_of_representatives_district_8
cabarrus_43836,470,314,us_house_of_representatives_district_8
cabarrus_OS-LOB,11059,8693,us_house_of_representatives_district_8
cabarrus_36647,671,173,us_house_of_representatives_district_8
cabarrus_43866,791,346,us_house_of_representatives_district_8
cabarrus_43863,806,447,us_house_of_representatives_district_8
cabarrus_43840,545,281,us_house_of_representatives_district_8
cabarrus_43924,474,360,us_house_of_representatives_district_8
cabarrus_43927,279,282,us_house_of_representatives_district_8
cabarrus_OS-HBL,5136,3724,us_house_of_representatives_district_8
cabarrus_43925,209,189,us_house_of_representatives_district_8
cabarrus_44170,531,212,us_house_of_representatives_district_8
cabarrus_44174,513,243,us_house_of_representatives_district_8
cabarrus_36708,488,84,us_house_of_representatives_district_8
cabarrus_43839,246,77,us_house_of_representatives_district_8
cabarrus_43862,492,255,us_house_of_representatives_district_8
cabarrus_43869,987,637,us_house_of_representatives_district_8
cabarrus_36678,922,135,us_house_of_representatives_district_8
cabarrus_43868,559,205,us_house_of_representatives_district_8
cabarrus_44136,828,686,us_house_of_representatives_district_8
cabarrus_44171,351,239,us_house_of_representatives_district_8
cabarrus_44137,803,234,us_house_of_representatives_district_8
cabarrus_43864,1029,495,us_house_of_representatives_district_8
cabarrus_ABSENTEE,2767,1387,us_house_of_representatives_district_8
cabarrus_44176,313,178,us_house_of_representatives_district_8
cabarrus_43838,716,405,us_house_of_representatives_district_8
