prec_id,Elaine Marshall,Richard Burr,Michael Beitler,Write-in
alamance_01,274,1070,32,0
alamance_02,279,1315,54,1
alamance_035,332,842,32,2
alamance_03C,345,1025,40,0
alamance_03N,479,926,41,1
alamance_03N2,232,204,2,0
alamance_03S,635,1283,48,3
alamance_03W,288,692,31,4
alamance_04,384,1282,46,2
alamance_05,225,874,26,0
alamance_063,489,410,18,0
alamance_064,604,1184,38,1
alamance_06E,361,474,18,0
alamance_06N,391,291,20,0
alamance_06S,393,729,41,0
alamance_06W,132,224,12,0
alamance_07,279,1004,32,0
alamance_08N,372,725,24,0
alamance_08S,169,414,23,0
alamance_09N,321,560,20,0
alamance_09S,524,903,41,1
alamance_103,244,728,30,0
alamance_10N,531,953,32,2
alamance_10S,955,1198,68,0
alamance_11,788,531,23,1
alamance_124,330,523,18,1
alamance_125,292,594,23,1
alamance_126,341,775,23,0
alamance_127,951,372,15,3
alamance_128,326,202,14,0
alamance_129,186,506,17,0
alamance_1210,229,352,16,0
alamance_12E,253,226,10,0
alamance_12N,1041,154,18,0
alamance_12S,217,118,2,1
alamance_12W,365,528,33,0
alamance_13,686,624,34,1
alexander_B1,248,815,30,1
alexander_B2,263,813,27,0
alexander_E,211,441,17,0
alexander_G1,70,164,7,0
alexander_G2,148,190,12,0
alexander_L,99,245,15,0
alexander_M,183,316,15,1
alexander_S1,185,339,17,1
alexander_S2,134,182,9,0
alexander_SL,63,240,5,0
alexander_T1,66,214,12,0
alexander_T2,123,200,15,0
alexander_T3,102,191,10,0
alexander_T4,118,195,6,1
alexander_T5,69,182,4,1
alexander_W,152,356,16,0
alleghany_01,162,428,14,0
alleghany_02,46,102,2,0
alleghany_03,634,878,37,1
alleghany_04,208,479,18,0
alleghany_05,119,186,5,0
alleghany_06,116,214,9,0
alleghany_07,105,236,17,0
alleghany_CURBSIDE,0,0,0,0
anson_ANS,300,214,12,0
anson_BURN,177,357,5,0
anson_GULL,260,185,5,1
anson_LILE,733,301,10,0
anson_MM,406,98,3,0
anson_PEAC,198,335,12,0
anson_POLK,224,161,7,0
anson_W1,657,267,7,0
anson_W2,432,205,3,1
anson_W3,522,433,12,0
anson_WS,63,53,1,0
ashe_02,140,292,9,0
ashe_03,41,155,6,0
ashe_04,55,86,3,0
ashe_06,57,116,6,0
ashe_07,66,87,1,0
ashe_08,28,32,3,0
ashe_09,319,496,22,0
ashe_10,28,63,2,0
ashe_11,281,355,15,0
ashe_12,66,183,6,0
ashe_13,119,231,13,0
ashe_14,157,413,13,1
ashe_15,64,196,6,0
ashe_16,191,367,18,0
ashe_17,76,218,3,0
ashe_18,16,49,1,0
ashe_20,304,528,29,0
avery_01,61,244,7,0
avery_02,184,446,18,0
avery_03,23,143,6,0
avery_04,6,18,0,0
avery_05,14,95,1,0
avery_06,39,167,6,0
avery_07,10,84,0,0
avery_08,18,128,3,0
avery_09,11,130,7,0
avery_10,64,203,8,0
avery_11,43,103,7,0
avery_12,17,106,0,0
avery_13,59,117,1,0
avery_14,42,194,9,1
avery_15,38,163,1,0
avery_16,97,267,15,0
avery_17,36,140,1,0
avery_18,21,96,3,0
avery_19,15,86,4,0
beaufort_AUROR,227,207,14,0
beaufort_BEADM,99,429,9,0
beaufort_BELHV,284,298,7,0
beaufort_BLCK,192,167,8,0
beaufort_CHOCO,310,580,15,2
beaufort_EDWAR,171,212,10,1
beaufort_GILEA,144,299,7,0
beaufort_HB,58,250,7,0
beaufort_NCRK,131,357,10,0
beaufort_OLDF,186,239,4,0
beaufort_PANTE,183,322,6,0
beaufort_PINET,45,265,5,1
beaufort_PSJW3,279,80,3,0
beaufort_RVRD,191,406,12,0
beaufort_SURBA,179,576,18,1
beaufort_TCRK,192,518,25,2
beaufort_WASH1,203,149,18,0
beaufort_WASH2,216,148,6,0
beaufort_WASH4,209,270,14,0
beaufort_WASHP,137,298,12,0
beaufort_WDPD,81,338,16,1
bertie_C1,105,171,2,0
bertie_C2,239,93,5,0
bertie_IW,119,10,0,0
bertie_M1,119,142,2,0
bertie_M2,188,151,4,0
bertie_MH,139,98,2,1
bertie_RX,296,125,3,0
bertie_SN,158,38,1,0
bertie_W1,520,251,6,0
bertie_W2,36,260,4,0
bertie_WD,275,37,0,1
bertie_WH,138,205,4,0
bladen_P10,141,99,3,0
bladen_P15,175,327,9,0
bladen_P201,109,213,7,0
bladen_P202,206,269,17,0
bladen_P25,227,167,6,0
bladen_P30,146,50,0,0
bladen_P35,83,78,2,0
bladen_P40,147,218,5,0
bladen_P45,66,120,5,0
bladen_P501,348,186,7,0
bladen_P502,144,96,5,0
bladen_P55,149,119,5,1
bladen_P60,259,175,5,0
bladen_P65,64,128,4,0
bladen_P70,71,67,5,0
bladen_P75,236,112,4,1
bladen_P80,126,186,7,0
