prec_id,Barry Gurney (Write-In),David Waddell (Write-In),John Rhodes (Write-In),Kay Hagan,Sean Haugh,Thom Tillis,Write-In (Miscellaneous),BARRY GURNEY (Write-In),DAVID WADDELL (Write-In),JOHN RHODES (Write-In)
alamance_03S,0,0,0,906,82,1388,2,,,
alamance_64,0,0,0,686,82,1169,2,,,
alamance_03N,0,0,0,586,44,862,3,,,
alamance_12S,0,0,0,258,13,94,4,,,
alamance_09S,0,0,0,675,78,1028,1,,,
alamance_35,0,0,0,434,43,920,3,,,
alamance_4,0,0,1,396,76,1287,0,,,
alamance_7,0,0,1,312,47,1029,2,,,
alamance_1,0,0,0,295,71,1071,0,,,
alamance_03C,0,0,0,455,44,943,6,,,
alamance_09N,0,0,1,345,30,505,3,,,
alamance_12W,0,0,0,481,42,457,1,,,
alamance_03N2,0,0,0,267,9,201,0,,,
alamance_11,0,0,2,778,45,533,0,,,
alamance_128,0,0,0,408,28,181,2,,,
alamance_5,0,0,0,251,47,853,1,,,
alamance_2,0,0,0,313,62,1246,2,,,
alamance_103,0,0,0,342,38,784,2,,,
alamance_1210,0,0,0,309,31,358,0,,,
alamance_125,0,0,0,325,46,595,3,,,
alamance_127,0,0,0,1137,38,318,0,,,
alamance_ONESTOP,0,0,0,0,0,0,0,,,
alamance_10S,0,0,0,1354,112,1261,4,,,
alamance_63,0,0,1,549,37,354,2,,,
alamance_13,0,0,0,682,65,578,1,,,
alamance_06N,0,0,0,466,31,231,2,,,
alamance_06S,0,0,0,418,72,695,2,,,
alamance_06W,0,0,0,182,17,181,1,,,
alamance_10N,0,0,0,605,69,963,5,,,
alamance_08N,0,0,0,413,61,689,3,,,
alamance_08S,0,0,0,195,33,440,0,,,
alamance_126,0,0,0,416,38,670,0,,,
alamance_124,0,0,0,391,33,491,1,,,
alamance_129,0,0,0,253,23,535,1,,,
alamance_12N,0,0,0,1163,26,129,3,,,
alamance_06E,0,0,0,432,42,423,4,,,
alamance_12E,0,0,0,271,21,180,0,,,
alamance_03W,0,0,0,396,54,738,1,,,
alexander_W,0,0,0,182,62,588,4,,,
alexander_T3,0,0,0,184,48,347,4,,,
alexander_G2,0,0,0,153,40,251,2,,,
alexander_S1,0,0,2,216,93,593,3,,,
alexander_SL,0,0,0,91,27,335,1,,,
alexander_B2,0,0,0,380,90,1149,9,,,
alexander_S2,0,0,0,135,34,243,0,,,
alexander_T2,0,1,0,261,44,399,3,,,
alexander_E,0,0,0,329,77,759,4,,,
alexander_L,0,0,0,108,40,399,3,,,
alexander_G1,0,0,0,63,17,248,3,,,
alexander_T1,0,0,0,109,60,419,2,,,
alexander_T4,0,0,0,270,45,425,1,,,
alexander_T5,0,0,0,96,32,298,2,,,
alexander_M,0,0,0,193,52,474,4,,,
alexander_B1,0,0,0,318,72,998,5,,,
alleghany_1,0,0,0,173,50,416,1,,,
alleghany_CURBSIDE,0,0,0,0,0,0,0,,,
alleghany_2,0,0,0,36,17,103,0,,,
