prec_id,Deborah K. Ross,Richard Burr,Sean Haugh
alamance_5,320,1430,72
alamance_2,396,1973,79
alamance_09N,545,865,44
alamance_03C,597,1194,57
alamance_1210,596,587,35
alamance_103,581,1309,69
alamance_125,510,869,58
alamance_127,1801,639,65
alamance_06E,728,680,38
alamance_13,1014,1030,64
alamance_03W,632,1233,72
alamance_12W,695,640,42
alamance_35,926,1532,96
alamance_09S,1080,1746,111
alamance_128,752,344,41
alamance_08S,286,723,25
alamance_08N,643,1194,56
alamance_10N,916,1509,83
alamance_06W,329,273,25
alamance_63,964,530,57
alamance_10S,2379,2337,161
alamance_4,570,2035,88
alamance_1,418,1829,89
alamance_11,1132,1017,67
alamance_03N2,288,243,5
alamance_64,1036,1805,105
alamance_12S,483,192,22
alamance_03N,956,1239,81
alamance_03S,1699,2165,115
alamance_124,518,695,51
alamance_129,356,781,44
alamance_7,436,1655,77
alamance_12N,1721,294,78
alamance_126,506,886,44
alamance_06N,821,420,39
alamance_06S,700,1179,76
alamance_12E,543,308,37
avery_18,16,121,5
avery_13,54,150,5
avery_2,238,532,47
avery_16,109,340,21
avery_14,37,234,9
avery_19,9,138,6
avery_8,19,139,11
avery_5,14,108,6
avery_11,50,134,5
avery_12,9,122,2
avery_17,32,228,15
avery_9,18,148,7
avery_10,55,269,19
avery_6,38,261,20
avery_3,32,194,10
avery_4,7,29,1
avery_7,8,104,7
avery_1,69,300,9
avery_ABSENTEE,80,238,11
avery_15,25,181,13
buncombe_7.1,351,101,21
buncombe_OS ABTC,617,261,63
buncombe_71.1,299,389,31
buncombe_53.1,164,351,29
buncombe_57.1,185,403,26
buncombe_37.1,150,262,20
buncombe_33.3,162,233,21
buncombe_44.1,290,392,41
buncombe_22.2,282,155,15
buncombe_62.1,264,296,26
buncombe_56.2,167,211,16
buncombe_61.1,253,316,27
buncombe_48.1,215,400,46
buncombe_38.3,169,419,33
buncombe_14.3,217,99,25
buncombe_OS LCBL,1807,3651,202
buncombe_OS PCBC,447,1450,84
buncombe_OS BTFD,2292,1894,153
buncombe_68.1,310,476,41
buncombe_47.1,297,678,65
buncombe_8.3,344,152,24
buncombe_14.2,321,123,18
buncombe_8.2,327,147,16
buncombe_17.1,219,90,16
buncombe_34.1,113,143,23
buncombe_OS WOCO,602,722,68
buncombe_OS WABL,6979,2257,391
buncombe_64.1,162,270,34
buncombe_67.1,163,180,20
buncombe_OS UNCA,2985,419,125
buncombe_65.1,231,221,35
buncombe_24.1,211,237,34
buncombe_9.1,404,224,44
buncombe_51.2,149,275,30
buncombe_38.2,85,286,20
buncombe_39.3,172,251,23
