label,time,mle_phc_mse,mean_phc_mse,phc_granularity,n_steps,scorer,kernel
1_1,278.79609498977663,0.2125000110268596,0.2327,10,1000,prob,rwm
1_2,121.780530834198,0.14624999284744294,0.3412,10,1000,prob,rwm
2_1,161.38561158180238,0.06249999791383745,0.0594,10,1000,prob,rwm
2_2,143.36135797500611,0.01624999850988391,0.0211,10,1000,prob,rwm
3_1,85.45096983909608,0.06250000834465055,0.0611,10,1000,prob,rwm
3_2,73.71685009002685,0.24125001847744024,0.2209,10,1000,prob,rwm
1_1,26206.26639389992,0.11682500665187845,0.1004,100,1000,prob,rwm
1_2,8688.818194866179,0.08762499876320362,0.0914,100,1000,prob,rwm
2_1,14839.908892154695,0.052225000401586286,0.0514,100,1000,prob,rwm
2_2,12406.147357940674,0.035225000956654554,0.0446,100,1000,prob,rwm
3_1,6496.2049300670615,0.07812499076128042,0.0698,100,1000,prob,rwm
3_2,6171.417456865312,0.19212500404566527,0.181,100,1000,prob,rwm
1_1,2698.036604166031,0.2525000077486041,0.2731,10,10000,prob,rwm
1_2,1190.983920097351,0.006249999105930364,0.0101,10,10000,prob,rwm
2_1,1496.4504001140594,0.1325,0.1052,10,10000,prob,rwm
2_2,1418.395719051361,0.006249999105930364,0.0172,10,10000,prob,rwm
3_1,874.6797802448273,0.09249999165535004,0.0831,10,10000,prob,rwm
3_2,820.0639760494232,0.1712499976158143,0.1322,10,10000,prob,rwm
