Ward,Precinct,PROCO ''JOE'' MORENO ,RONALD J. BALTIERRA ,DEBORAH LOPEZ ,GENITA C. ROBINSON ,BOB FIORETTI ,FEDERICO SCIAMMARELLA ,JAMES A. BOSCO ,MELISSA CALLAHAN ,ENRIQUE G. PEREZ ,EBONY TILLMAN ,PAT DOWELL ,WILLIAM D. ''WILL'' BURNS ,BRIAN SCOTT ,NORMAN H. BOLDEN ,JAMES E. WILLIAMS ,GEORGE RUMSEY ,ADAM L. MIGUEST ,LORI S. YOKOYAMA ,ANNE MARIE MILES,MICHELE A. TANKERSLEY,LESLIE A. HAIRSTON,GLENN ROSS,CAROL HIGHTOWER CHALMERS,RODERICK T. SAWYER,FREDDRENNA M. LYLE,BRIAN E. SLEET,SEKUM WALKER,CASSANDRA GOODRUM-BURTON,RICHARD A. WOOTEN,LIONELL R. MARTIN,GREGORY I. MITCHELL,DARCEL A. BEAVERS,SIDNEY H. BROOKS,DEBORAH WASHINGTON,SANDI JACKSON,FAHEEM SHABAZZ,MICHELLE A. HARRIS,BERTHA F. STARKS,JAMES L. DANIELS,HAROLD ''NOONIE'' WARD,ANTHONY A. BEALE,EDDIE M. REED,SANDRA J. WALTERS,JOHN A. POPE,JOSEPH A. NASELLA,"RICHARD L. MARTINEZ, JR.",JOSE R. LEON,JAMES A. BALCER,JOHN K. KOZLAR,CARL SEGVICH,JESUS ''JESSE'' INIGUEZ,GEORGE CARDENAS,JOSE GUERECA,ALBERTO BOCANEGRA JR.,MARIA E. ''CHULA'' ORTIZ,MARTY QUINN,EDWARD M. BURKE,SAMMY CLIFFORD PACK JR.,SANDRA L. MALLORY,SYRON M. SMITH,TONI L. FOULKES,RAYMOND A. LOPEZ,HAROLD L. BAILEY,FELICIA H. SIMMONS-STOVALL,JOANN THOMPSON,ERIC HERMOSILLO,EDDIE JOHNSON III,HAL E. BASKIN,JAVIER DIAZ,TAMEKA GAVIN,JEFFREY L. LEWIS,RONALD MITCHELL,JONATHAN T. STAMPS,LATASHA R. THOMAS,ANTOINE MEMBERS,DAVID H. MOORE,MICHAEL F. DANIELS,VIRGIL S. MEANS,TWAUNDELLA TAYLOR,RONALD CARTER,PAULETTE COLEMAN,LONA LANE,"JOSEPH C. ZIEGLER, JR.",MICHAEL A. DAVIS,MANNY ROMAN,CHUKS ONYEZIA,MATTHEW J. O'SHEA,ANNE SCHAIBLE,RAYMOND (RAY) CORONADO,GEORGE G. NEWELL,PHILLIP R. SHERLOCK,GEORGE E. DAVIS,ANDRE SMITH,WILLIE B. COCHRAN,CHE ''RHYMEFEST'' SMITH,SIDNEY (SID) SHELTON,SHELDON L. SHERMAN,PATRICIA A. FOSTER,SYLVIA Y. JONES,"HOWARD B. BROOKINS, JR.",JEROME MADDOX,RICARDO MUNOZ,NEFTALIE GONZALEZ,CHARLES V. ''CHUCK'' MAIDA,MICHAEL R. ZALEWSKI,ANNA GORAL,WALLACE E. ''MICKEY'' JOHNSON,WILBERT E. COOK III,CHAUNCEY L. STROUD,SONDRA R. (SAM) SPELLMAN,MELISSA L. WILLIAMS,VALERIE F. LEONARD,VETRESS BOYCE,MICHAEL D. CHANDLER,JULIUS ANDERSON,SHAVONDA FIELDS,JIMMY LEE LARD,REGINA D. LEWIS,JEFFERY D. TURNER,MARTAVIUS ''MARK'' CARTER,LARRY G. NELSON,DONIELLE C. LAWSON,FRANK M. BASS,SHARON DENISE DIXON,CUAHUTEMOC MORFIN,DANIEL ''DANNY'' SOLIS,AMBROSIO ''AMBI'' MEDRANO JR.,ROBERTO MALDONADO,DEVON REID,TOM COURTNEY,"WALTER BURNETT, JR.",GEVONNA FASSETT,WILLIAM SIEGMUND,JASON C. ERVIN,C B JOHNSON,DEBORAH L. GRAHAM,THOMAS E. SIMMONS,MARY RUSSELL GARDNER,JILL R. BUSH,ODDIS''O.J''JOHNSON,ROMAN MORROW,BEVERLY D. ROGERS,STELLA NICPON,ARIEL E. REBOYRAS,DOUG CANNON,CHESTER R. HORNOWSKI,REGNER ''RAY'' SUAREZ,DAVID M. PAVLIK,SCOTT WAGUESPACK,BRIAN GORMAN,BRYAN P. LYNCH,RICHARD F. MELL,BURL L. MCQUEEN,HENRY MOSES,CARRIE M. AUSTIN,SHIRLEY J. WHITE,MICHAEL E. MAYDEN,MIGUEL SOTOMAYOR,REY COLON,NANCY SCHIAVONE,NICHOLAS SPOSATO,JOHN A. RICE,THOMAS J. MOTZNY,BRUCE RANDAZZO,JODI BIANCALANA,BRIAN MURPHY,EMMA M. MITTS,MARETTA BROWN-MILLER,MINERVA V. OROZCO,STEVEN E. PLEASANT,TOMMY O. ABINA,SHANIKA J. FINLEY,TIMOTHY M. CULLERTON,TOM CARAVETTE,CARMEN HERNANDEZ,JOHN R. VIDECKIS,EDMUND ''ED'' J. QUARTULLO,MAHMOUD BAMBOUYANI,BART GOLDBERG,SHERYL M. MORABITO,MARGARET LAURINO,MARY K. HUNTER,PATRICK J. O'CONNOR,THOMAS PATRICK MURPHEY,DANIEL T. LAPINSKI,JAMES J. SCHAMNE,JOHN JOSEPH QUINN,MARY O'CONNOR,RICHARD GONZALEZ,MAURITA E. GAVIN,GEORGE BANNA,BARBARA ATECA,JIM MULLEN,BROCK MERCK,BRENDAN REILLY,JIM HINKAMP,TIM EGAN,RAFAEL A. VARGAS,BITA BUENROSTRO,CHARLES E. EASTWOOD,MICHAEL ''MIKE'' JANKOVICH,MICHELE SMITH,CARMEN OLMETTI,MITCHELL A. NEWMAN,THOMAS M. TUNNEY,DON BLAIR,JOHN GARRIDO,JOHN ARENA,ANNA KLOCEK,MARINA YOLANDA FAZ-HUPPERT,BRUNO BELLISSIMO,MICHAEL FITZGERALD WARD,BEFEKADU T. RETTA,MARY ANNE ''MOLLY'' PHELAN,MICHAEL CARROLL,DON NOWOTNY,JAMES CAPPLEMAN,DIANE SHAPIRO,ANDY W. LAM,EMILY STEWART,MARC KAPLAN,CAITLIN MCINTYRE,SCOTT BASKIN,MATT REICHEL,AMEYA PAWAR,TOM O'DONNELL,TOM JACKS,HARRY OSTERMAN,PATRICK MCDONOUGH,STEVEN CHERESKA,JOSE E. ARTEAGA,PHILIP R. BERNSTEIN,JOE MOORE,BRIAN WHITE,BERNARD L. STONE,MICHAEL CHARLES MOSES,DEBRA L. SILVERSTEIN,GREG BREWER,AHMED KHAN
01,01,187,9,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,02,140,12,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,03,122,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,04,153,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,05,135,17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,06,151,12,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,07,170,7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,08,166,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,09,172,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,10,159,29,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,11,155,13,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,12,186,14,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
