Precinct_Name,WARD,PRECINCT,JOINID,TOTVOTES,JOYCE,VALLAS,WILSON,PRECKWINKLE,DALEY,MCCARTHY,CHICO,MENDOZA,ENYIA,FORD,SALESGRIFFIN,LIGHTFOOT,FIORETTI,KOZLAR,P_JOYCE,P_VALLAS,P_WISLON,P_PRECKWINKLE,P_DALEY,P_MCCARTHY,P_CHICO,P_MENDOZA,P_ENYIA,P_FORD,P_SALESGRIFFIN,P_LIGHTFOOT,P_FIORETTI,P_KOZLAR,TOTPOP,NH_WHITE,NH_BLACK,NH_ASIAN,HISP,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,PER_NW
Ward 01 Precinct 01,1,1,C01001,330,10,8,14,53,34,3,19,33,59,2,1,90,1,1,0.03030303,0.024242424,0.042424242,0.160606061,0.103030303,0.009090909,0.057575758,0.1,0.178787879,0.006060606,0.003030303,0.272727273,0.003030303,0.003030303,1410.000058,373.0000204,111.9999983,18.00000299,895.000033,0.264539011,0.07943262,0.012765959,0.63475177,0.735460989
Ward 01 Precinct 02,1,2,C01002,248,10,8,19,39,29,2,14,29,36,2,1,56,2,0,0.040322581,0.032258065,0.076612903,0.157258065,0.116935484,0.008064516,0.056451613,0.116935484,0.14516129,0.008064516,0.004032258,0.225806452,0.008064516,0,1713.000082,200.9999981,249.0000462,9.999997262,1227.000041,0.117337997,0.145359039,0.00583771,0.716287205,0.882662003
Ward 01 Precinct 03,1,3,C01003,312,13,11,6,48,44,5,11,23,51,0,0,92,1,5,0.041666667,0.03525641,0.019230769,0.153846154,0.141025641,0.016025641,0.03525641,0.073717949,0.163461538,0,0,0.294871795,0.003205128,0.016025641,1494.000018,945.9999916,30.00000092,55.0000027,437.0000233,0.633199451,0.020080322,0.036813924,0.292503359,0.366800549
Ward 01 Precinct 04,1,4,C01004,307,13,22,5,53,49,9,13,31,32,2,1,69,4,4,0.042345277,0.071661238,0.016286645,0.172638436,0.159609121,0.029315961,0.042345277,0.100977199,0.104234528,0.006514658,0.003257329,0.2247557,0.013029316,0.013029316,1449.000038,790.0000257,26.00000081,51.00000345,558.0000084,0.545203592,0.017943409,0.035196689,0.385093164,0.454796408
Ward 01 Precinct 05,1,5,C01005,286,10,18,5,45,35,5,9,21,54,0,1,77,3,2,0.034965035,0.062937063,0.017482517,0.157342657,0.122377622,0.017482517,0.031468531,0.073426573,0.188811189,0,0.003496503,0.269230769,0.01048951,0.006993007,1258.999949,953.9999578,75.99999944,48.99999681,146.9999961,0.757744239,0.060365371,0.038919777,0.116759334,0.242255761
Ward 01 Precinct 06,1,6,C01006,291,15,14,5,25,53,8,20,37,42,0,1,66,0,2,0.051546392,0.048109966,0.017182131,0.085910653,0.182130584,0.027491409,0.068728522,0.127147766,0.144329897,0,0.003436426,0.226804124,0,0.006872852,1508.000021,715.0000001,85.00001231,39.00000019,640.0000083,0.474137924,0.056366055,0.025862069,0.424403183,0.525862076
Ward 01 Precinct 07,1,7,C01007,235,5,11,10,41,20,3,13,32,29,2,0,66,2,1,0.021276596,0.046808511,0.042553191,0.174468085,0.085106383,0.012765957,0.055319149,0.136170213,0.123404255,0.008510638,0,0.280851064,0.008510638,0.004255319,825.0000042,415.0000005,51,18,329.0000038,0.503030301,0.061818182,0.021818182,0.398787881,0.496969699
Ward 01 Precinct 08,1,8,C01008,281,10,13,20,50,36,6,9,34,24,1,1,59,1,10,0.035587189,0.046263345,0.071174377,0.177935943,0.128113879,0.021352313,0.03202847,0.120996441,0.085409253,0.003558719,0.003558719,0.209964413,0.003558719,0.035587189,1187.000028,722.0000527,173.9999866,39.00000197,228.9999825,0.608256138,0.146588022,0.03285594,0.192923317,0.391743862
Ward 01 Precinct 09,1,9,C01009,290,15,10,6,47,39,9,22,49,32,0,1,51,3,1,0.051724138,0.034482759,0.020689655,0.162068966,0.134482759,0.031034483,0.075862069,0.168965517,0.110344828,0,0.003448276,0.175862069,0.010344828,0.003448276,966.0000125,314.0000067,38,50.00000044,547.0000052,0.325051763,0.039337474,0.051759834,0.566252586,0.674948237
Ward 01 Precinct 10,1,10,C01010,296,8,13,5,44,45,9,12,29,31,0,1,97,1,0,0.027027027,0.043918919,0.016891892,0.148648649,0.152027027,0.030405405,0.040540541,0.097972973,0.10472973,0,0.003378378,0.327702703,0.003378378,0,1432.999994,961.0000029,38.00000068,69.99999919,304.9999912,0.67062108,0.026517795,0.048848569,0.21284019,0.32937892
